nParts,k,frameMs,editMs,gpuMs
20000,1,1.054,0.073,0.134
20000,1,1.432,0.071,0.149
20000,1,1.407,0.077,0.134
20000,1,1.678,0.071,0.170
20000,1,1.703,0.068,0.175
20000,1,1.488,0.062,0.175
20000,1,1.568,0.069,0.162
20000,1,1.502,0.062,0.167
20000,1,1.696,0.060,0.155
20000,1,1.657,0.060,0.163
20000,1,1.424,0.060,0.151
20000,1,1.567,0.076,0.170
20000,1,1.613,0.062,0.158
20000,1,1.451,0.075,0.134
20000,1,1.549,0.062,0.156
20000,1,1.501,0.062,0.138
20000,1,1.575,0.063,0.180
20000,1,1.347,0.062,0.134
20000,1,2.040,0.078,0.148
20000,1,1.331,0.068,0.134
20000,1,1.298,0.075,0.134
20000,1,1.375,0.059,0.133
20000,1,1.297,0.058,0.134
20000,1,1.332,0.074,0.134
20000,1,1.387,0.057,0.134
20000,1,1.320,0.061,0.134
20000,1,1.325,0.073,0.134
20000,1,1.727,0.057,0.171
20000,1,1.505,0.060,0.176
20000,1,1.648,0.093,0.167
20000,3,1.639,0.083,0.177
20000,3,1.563,0.082,0.170
20000,3,1.581,0.085,0.175
20000,3,1.538,0.083,0.165
20000,3,1.410,0.083,0.134
20000,3,1.357,0.085,0.135
20000,3,1.481,0.084,0.151
20000,3,1.488,0.084,0.134
20000,3,1.778,0.083,0.159
20000,3,1.428,0.082,0.150
20000,3,1.689,0.090,0.162
20000,3,1.524,0.084,0.159
20000,3,1.601,0.083,0.183
20000,3,1.670,0.084,0.158
20000,3,1.655,0.084,0.163
20000,3,1.645,0.082,0.150
20000,3,1.676,0.083,0.164
20000,3,1.674,0.083,0.168
20000,3,1.485,0.082,0.160
20000,3,1.591,0.081,0.165
20000,3,29.583,0.084,0.177
20000,3,1.801,0.096,0.158
20000,3,1.744,0.085,0.174
20000,3,32.269,0.083,0.163
20000,3,1.532,0.114,0.161
20000,3,1.316,0.086,0.134
20000,3,1.611,0.088,0.166
20000,3,1.380,0.085,0.133
20000,3,1.502,0.086,0.175
20000,3,1.338,0.086,0.134
20000,10,1.499,0.143,0.133
20000,10,1.686,0.144,0.177
20000,10,1.580,0.141,0.167
20000,10,1.720,0.142,0.174
20000,10,1.601,0.144,0.161
20000,10,1.623,0.143,0.157
20000,10,1.519,0.144,0.134
20000,10,1.497,0.145,0.148
20000,10,1.590,0.146,0.163
20000,10,1.470,0.144,0.134
20000,10,1.425,0.147,0.134
20000,10,1.697,0.147,0.172
20000,10,1.623,0.150,0.158
20000,10,1.691,0.151,0.166
20000,10,1.534,0.149,0.161
20000,10,1.436,0.147,0.134
20000,10,1.803,0.147,0.170
20000,10,1.708,0.146,0.156
20000,10,1.771,0.153,0.172
20000,10,1.665,0.146,0.173
20000,10,1.634,0.152,0.173
20000,10,1.765,0.144,0.162
20000,10,1.491,0.136,0.133
20000,10,1.750,0.137,0.163
20000,10,1.679,0.143,0.172
20000,10,1.658,0.137,0.174
20000,10,1.555,0.141,0.169
20000,10,1.317,0.138,0.134
20000,10,1.511,0.137,0.139
20000,10,1.398,0.138,0.134
20000,32,2.213,0.327,0.168
20000,32,2.341,0.327,0.170
20000,32,2.385,0.340,0.156
20000,32,2.420,0.336,0.160
20000,32,2.382,0.336,0.154
20000,32,2.547,0.325,0.156
20000,32,2.525,0.324,0.166
20000,32,2.529,0.328,0.170
20000,32,2.623,0.327,0.154
20000,32,2.619,0.332,0.161
20000,32,2.554,0.333,0.166
20000,32,2.553,0.326,0.156
20000,32,2.544,0.323,0.155
20000,32,2.513,0.330,0.171
20000,32,26.086,0.332,0.163
20000,32,2.658,0.357,0.170
20000,32,2.681,0.351,0.160
20000,32,2.561,0.351,0.157
20000,32,2.488,0.340,0.158
20000,32,2.904,0.340,0.158
20000,32,2.780,0.342,0.164
20000,32,2.721,0.342,0.167
20000,32,2.674,0.333,0.156
20000,32,5.036,0.340,0.165
20000,32,6.759,0.359,0.169
20000,32,9.461,2.483,0.175
20000,32,4.611,2.454,0.180
20000,32,2.737,0.367,0.158
20000,32,2.627,0.365,0.173
20000,32,2.514,0.334,0.168
20000,100,4.846,0.899,0.179
20000,100,4.631,0.897,0.177
20000,100,4.594,0.867,0.168
20000,100,4.637,0.899,0.172
20000,100,4.514,0.891,0.167
20000,100,4.526,0.899,0.166
20000,100,11.670,0.906,0.166
20000,100,4.620,0.898,0.182
20000,100,6.133,0.888,0.274
20000,100,5.024,0.970,0.177
20000,100,5.136,1.053,0.180
20000,100,5.356,1.067,0.183
20000,100,5.263,1.041,0.177
20000,100,4.704,0.889,0.177
20000,100,19.348,15.871,0.183
20000,100,3.988,0.752,0.164
20000,100,3.932,0.740,0.160
20000,100,3.902,0.717,0.174
20000,100,3.979,0.696,0.158
20000,100,3.991,0.724,0.160
20000,100,3.844,0.697,0.167
20000,100,10.565,0.706,0.161
20000,100,3.985,0.718,0.170
20000,100,4.009,0.698,0.169
20000,100,3.931,0.716,0.167
20000,100,3.998,0.702,0.163
20000,100,3.829,0.704,0.169
20000,100,3.945,0.704,0.159
20000,100,4.067,0.723,0.170
20000,100,10.953,7.539,0.184
20000,316,10.204,2.156,0.174
20000,316,17.529,2.541,0.178
20000,316,9.767,2.187,0.170
20000,316,9.512,2.242,0.175
20000,316,24.347,2.305,0.182
20000,316,9.936,2.390,0.177
20000,316,15.442,2.476,0.169
20000,316,9.809,2.466,0.166
20000,316,10.090,2.486,0.186
20000,316,16.532,9.188,0.182
20000,316,10.835,2.740,0.184
20000,316,17.334,2.818,0.181
20000,316,12.747,2.638,0.175
20000,316,10.760,2.504,0.171
20000,316,28.883,21.079,0.177
20000,316,11.128,2.766,0.172
20000,316,18.290,2.682,0.172
20000,316,9.828,2.364,0.174
20000,316,9.775,2.306,0.170
20000,316,17.733,9.237,0.170
20000,316,15.535,2.706,0.181
20000,316,38.012,10.716,0.184
20000,316,7.293,2.124,0.168
20000,316,22.643,1.630,0.180
20000,316,6.586,1.479,0.171
20000,316,11.794,1.340,0.182
20000,316,13.161,1.163,0.178
20000,316,5.909,1.137,0.192
20000,316,11.782,1.134,0.171
20000,316,5.759,1.159,0.176
20000,1000,19.784,2.842,0.186
20000,1000,20.780,2.776,0.187
20000,1000,30.277,19.474,0.181
20000,1000,24.589,8.330,0.176
20000,1000,34.946,3.550,0.182
20000,1000,19.832,2.809,0.183
20000,1000,33.936,8.839,0.183
20000,1000,18.914,2.745,0.182
20000,1000,27.192,2.863,0.187
20000,1000,20.405,9.790,0.188
20000,1000,34.347,8.385,0.190
20000,1000,18.704,2.672,0.175
20000,1000,20.492,2.691,0.180
20000,1000,50.421,9.614,0.184
20000,1000,41.899,26.192,0.171
20000,1000,25.168,2.689,0.181
20000,1000,19.591,9.077,0.218
20000,1000,33.355,8.185,0.229
20000,1000,18.717,2.647,0.181
20000,1000,27.230,2.718,0.186
20000,1000,19.898,8.861,0.190
20000,1000,24.981,8.426,0.181
20000,1000,56.489,9.095,0.177
20000,1000,25.488,8.927,0.188
20000,1000,33.547,8.410,0.195
20000,1000,18.899,2.617,0.180
20000,1000,24.968,2.662,0.178
20000,1000,19.640,2.666,0.186
20000,1000,35.170,8.676,0.190
20000,1000,19.163,2.680,0.180
20000,2000,35.574,12.110,0.182
20000,2000,89.875,18.928,0.151
20000,2000,36.382,12.012,0.145
20000,2000,49.021,18.073,0.144
20000,2000,81.150,31.238,0.142
20000,2000,52.620,16.326,0.139
20000,2000,35.866,11.833,0.143
20000,2000,54.207,18.178,0.142
20000,2000,36.302,11.970,0.142
20000,2000,54.486,17.463,0.142
20000,2000,79.856,42.956,0.145
20000,2000,55.725,16.168,0.142
20000,2000,36.774,12.007,0.142
20000,2000,54.741,18.238,0.141
20000,2000,37.076,12.161,0.154
20000,2000,90.700,19.678,0.144
20000,2000,37.012,12.165,0.141
20000,2000,51.280,17.966,0.147
20000,2000,80.632,32.377,0.143
20000,2000,56.012,16.923,0.142
20000,2000,39.988,12.466,0.142
20000,2000,60.578,19.420,0.166
20000,2000,39.800,12.105,0.159
20000,2000,100.039,17.441,0.205
20000,2000,40.546,5.221,0.144
20000,2000,51.380,11.993,0.145
20000,2000,43.199,5.194,0.148
20000,2000,70.144,37.238,0.146
20000,2000,54.620,17.766,0.148
20000,2000,39.929,12.319,0.156
