nParts,k,frameMs,editMs,gpuMs
20000,1,1.423,0.062,0.134
20000,1,1.820,0.069,0.171
20000,1,1.701,0.064,0.166
20000,1,1.607,0.064,0.149
20000,1,1.481,0.064,0.138
20000,1,1.457,0.064,0.139
20000,1,1.323,0.071,0.133
20000,1,1.453,0.068,0.138
20000,1,1.897,0.068,0.136
20000,1,1.396,0.074,0.134
20000,1,1.283,0.064,0.133
20000,1,1.310,0.069,0.134
20000,1,1.314,0.066,0.133
20000,1,1.433,0.062,0.141
20000,1,1.375,0.067,0.134
20000,1,1.541,0.063,0.150
20000,1,1.513,0.064,0.174
20000,1,1.415,0.068,0.133
20000,1,1.407,0.065,0.134
20000,1,1.613,0.063,0.172
20000,1,1.537,0.062,0.154
20000,1,1.416,0.062,0.134
20000,1,2.080,0.064,0.157
20000,1,1.324,0.075,0.134
20000,1,1.438,0.067,0.135
20000,1,1.358,0.063,0.134
20000,1,1.663,0.063,0.166
20000,1,1.585,0.063,0.174
20000,1,1.554,0.062,0.153
20000,1,1.583,0.063,0.160
20000,1,1.479,0.063,0.140
20000,1,1.187,0.062,0.134
20000,1,1.270,0.063,0.134
20000,1,1.311,0.066,0.134
20000,1,1.410,0.064,0.134
20000,1,1.421,0.065,0.152
20000,1,1.378,0.062,0.134
20000,1,1.399,0.064,0.134
20000,1,1.382,0.064,0.134
20000,1,1.392,0.062,0.134
20000,1,1.676,0.064,0.162
20000,1,1.504,0.061,0.165
20000,1,1.204,0.061,0.134
20000,1,1.746,0.073,0.157
20000,1,1.469,0.062,0.163
20000,1,1.486,0.060,0.142
20000,1,1.614,0.064,0.165
20000,1,1.335,0.061,0.134
20000,1,1.510,0.063,0.134
20000,1,1.381,0.063,0.134
20000,1,1.633,0.059,0.161
20000,1,30.387,0.062,0.171
20000,1,1.527,0.092,0.146
20000,1,3.690,0.069,0.167
20000,1,1.577,0.068,0.159
20000,1,1.459,0.062,0.134
20000,1,1.254,0.063,0.134
20000,1,1.357,0.062,0.133
20000,1,1.281,0.063,0.134
20000,1,1.138,0.062,0.133
20000,3,1.316,0.086,0.134
20000,3,1.433,0.085,0.133
20000,3,1.467,0.094,0.134
20000,3,1.377,0.086,0.134
20000,3,1.267,0.085,0.134
20000,3,1.311,0.085,0.134
20000,3,1.232,0.080,0.134
20000,3,1.382,0.082,0.134
20000,3,1.452,0.089,0.134
20000,3,1.209,0.084,0.134
20000,3,1.338,0.082,0.134
20000,3,1.317,0.086,0.134
20000,3,1.303,0.086,0.134
20000,3,1.060,0.082,0.134
20000,3,1.231,0.082,0.134
20000,3,1.210,0.082,0.134
20000,3,1.020,0.082,0.134
20000,3,1.119,0.086,0.134
20000,3,1.352,0.082,0.134
20000,3,1.213,0.089,0.133
20000,3,1.105,0.084,0.134
20000,3,1.222,0.081,0.134
20000,3,1.282,0.084,0.134
20000,3,20.194,0.082,0.181
20000,3,1.426,0.091,0.134
20000,3,1.262,0.084,0.134
20000,3,1.284,0.084,0.134
20000,3,1.275,0.082,0.134
20000,3,1.257,0.090,0.136
20000,3,1.167,0.080,0.134
20000,3,1.124,0.079,0.134
20000,3,1.352,0.078,0.134
20000,3,1.463,0.080,0.148
20000,3,1.299,0.081,0.134
20000,3,1.491,0.080,0.157
20000,3,1.350,0.079,0.134
20000,3,1.306,0.081,0.134
20000,3,1.483,0.083,0.157
20000,3,1.376,0.082,0.134
20000,3,1.253,0.081,0.134
20000,3,1.401,0.082,0.135
20000,3,1.354,0.077,0.134
20000,3,1.357,0.083,0.134
20000,3,1.478,0.093,0.163
20000,3,1.388,0.082,0.133
20000,3,1.291,0.082,0.134
20000,3,1.359,0.080,0.134
20000,3,1.473,0.081,0.158
20000,3,1.720,0.081,0.170
20000,3,1.748,0.096,0.166
