nParts,k,frameMs,editMs,gpuMs
20000,1,21.626,0.051,3.155
20000,1,21.815,0.051,3.156
20000,1,21.515,0.042,3.163
20000,1,21.643,0.038,3.144
20000,1,21.660,0.040,3.162
20000,1,21.497,0.046,3.159
20000,1,21.765,0.042,3.150
20000,1,21.763,0.039,3.152
20000,1,21.730,0.038,3.154
20000,1,21.519,0.054,3.163
20000,1,21.700,0.040,3.144
20000,1,21.978,0.038,3.150
20000,1,21.538,0.035,3.151
20000,1,21.620,0.037,3.157
20000,1,21.510,0.041,3.176
20000,1,21.418,0.037,3.159
20000,1,21.869,0.036,3.152
20000,1,21.821,0.035,3.156
20000,1,21.831,0.036,3.152
20000,1,21.714,0.037,3.163
20000,1,21.669,0.037,3.152
20000,1,21.745,0.039,3.154
20000,1,21.660,0.039,3.160
20000,1,21.786,0.035,3.156
20000,1,21.930,0.040,3.148
20000,1,21.883,0.036,3.153
20000,1,22.301,0.036,3.158
20000,1,22.388,0.042,3.154
20000,1,22.006,0.037,3.150
20000,1,21.700,0.043,3.159
20000,1,21.616,0.041,3.157
20000,1,21.882,0.039,3.150
20000,1,21.924,0.044,3.158
20000,1,21.967,0.040,3.151
20000,1,21.814,0.043,3.146
20000,1,21.832,0.043,3.149
20000,1,21.758,0.040,3.146
20000,1,22.146,0.038,3.148
20000,1,21.963,0.037,3.156
20000,1,21.849,0.037,3.143
20000,1,21.726,0.102,3.155
20000,1,22.940,0.063,3.144
20000,1,22.753,0.033,3.147
20000,1,21.598,0.033,3.158
20000,1,21.557,0.032,3.148
20000,1,21.520,0.030,3.149
20000,1,22.782,0.035,3.157
20000,1,22.086,0.046,3.149
20000,1,21.604,0.036,3.151
20000,1,21.346,0.033,3.154
20000,1,21.377,0.032,3.167
20000,1,21.495,0.033,3.159
20000,1,21.611,0.035,3.150
20000,1,21.698,0.033,3.151
20000,1,21.676,0.034,3.150
20000,1,21.506,0.032,3.150
20000,1,22.409,0.032,3.148
20000,1,22.864,0.037,3.152
20000,1,23.161,0.035,3.159
20000,1,22.739,0.037,3.165
20000,3,22.666,0.042,3.134
20000,3,22.755,0.043,3.142
20000,3,22.376,0.041,3.146
20000,3,22.220,0.044,3.135
20000,3,22.271,0.040,3.139
20000,3,22.301,0.052,3.130
20000,3,22.120,0.043,3.141
20000,3,22.276,0.041,3.148
20000,3,21.915,0.041,3.138
20000,3,22.316,0.043,3.134
20000,3,22.198,0.040,3.136
20000,3,22.276,0.042,3.148
20000,3,22.596,0.042,3.146
20000,3,23.044,0.041,3.142
20000,3,22.715,0.043,3.128
20000,3,22.828,0.039,3.141
20000,3,22.413,0.048,3.138
20000,3,21.996,0.044,3.136
20000,3,22.207,0.041,3.131
20000,3,37.148,0.041,3.135
20000,3,22.420,0.043,3.137
20000,3,22.577,0.039,3.134
20000,3,22.306,0.042,3.148
20000,3,22.130,0.041,3.130
20000,3,22.172,0.041,3.144
20000,3,22.360,0.040,3.130
20000,3,22.196,0.041,3.137
20000,3,22.099,0.041,3.139
20000,3,22.722,0.040,3.163
20000,3,22.302,0.040,3.154
20000,3,22.416,0.041,3.150
20000,3,22.335,0.040,3.146
20000,3,22.452,0.040,3.152
20000,3,22.216,0.040,3.143
20000,3,22.596,0.048,3.160
20000,3,22.380,0.043,3.157
20000,3,22.313,0.039,3.152
20000,3,22.288,0.042,3.156
20000,3,22.143,0.041,3.153
20000,3,22.776,0.042,3.152
20000,3,22.557,0.043,3.151
20000,3,22.559,0.044,3.145
20000,3,22.626,0.043,3.160
20000,3,33.248,0.042,3.159
20000,3,24.809,0.042,4.635
20000,3,22.545,0.043,3.151
20000,3,22.528,0.043,3.146
20000,3,22.482,0.038,3.155
20000,3,22.881,0.041,3.150
20000,3,22.378,0.040,3.147
20000,3,22.341,0.043,3.155
20000,3,22.377,0.043,3.154
20000,3,22.243,0.039,3.154
20000,3,40.294,0.041,3.159
20000,3,22.990,0.043,3.152
20000,3,22.590,0.046,3.157
20000,3,22.612,0.039,3.163
20000,3,22.118,0.042,3.155
20000,3,22.379,0.042,3.158
20000,3,22.537,0.048,3.146
20000,10,23.183,0.068,3.161
20000,10,23.365,0.094,3.149
20000,10,30.922,0.083,3.148
20000,10,23.449,0.064,3.151
20000,10,22.831,0.066,3.162
20000,10,22.765,0.063,3.151
20000,10,25.743,0.062,5.748
20000,10,25.770,0.067,5.748
20000,10,42.970,0.067,5.744
20000,10,25.671,0.065,5.747
20000,10,25.623,0.066,5.740
20000,10,25.620,0.062,5.749
20000,10,25.891,0.065,5.746
20000,10,23.372,0.065,3.150
20000,10,23.274,0.066,3.148
20000,10,23.302,0.099,3.154
20000,10,23.206,0.084,3.145
20000,10,23.267,0.103,3.148
20000,10,44.903,0.070,3.144
20000,10,22.980,0.066,3.157
20000,10,22.963,0.066,3.155
20000,10,23.153,0.064,3.155
20000,10,23.373,0.081,3.158
20000,10,23.182,0.097,3.150
20000,10,23.354,0.080,3.148
20000,10,23.398,0.091,3.146
20000,10,23.110,0.091,3.155
20000,10,23.271,0.082,3.147
20000,10,37.197,0.089,3.151
20000,10,23.174,0.067,3.149
20000,10,23.061,0.062,3.147
20000,10,32.049,0.066,3.152
20000,10,23.000,0.064,3.155
20000,10,23.453,0.066,3.156
20000,10,23.389,0.066,3.152
20000,10,23.382,0.066,3.145
20000,10,23.020,0.062,3.147
20000,10,23.112,0.068,3.148
20000,10,37.191,0.067,3.147
20000,10,22.907,0.063,3.148
20000,10,23.377,0.067,3.153
20000,10,23.253,0.083,3.142
20000,10,23.271,0.089,3.159
20000,10,23.342,0.089,3.150
20000,10,23.836,0.073,3.155
20000,10,23.668,0.090,3.143
20000,10,23.408,0.096,3.152
20000,10,44.614,0.074,3.156
20000,10,36.289,0.065,3.155
20000,10,23.295,0.066,3.153
20000,10,25.563,0.066,3.149
20000,10,23.571,0.067,3.143
20000,10,23.274,0.064,3.148
20000,10,23.124,0.066,3.147
20000,10,23.354,0.065,3.154
20000,10,23.538,0.065,3.145
20000,10,23.388,0.069,3.151
20000,10,23.152,0.066,3.146
20000,10,45.223,0.064,3.146
20000,10,23.139,0.067,3.153
20000,32,29.354,0.203,5.739
20000,32,43.668,0.193,5.740
20000,32,44.399,0.188,5.742
20000,32,28.516,0.145,5.747
20000,32,44.162,0.144,5.748
20000,32,28.433,0.142,5.748
20000,32,28.661,0.149,5.749
20000,32,36.523,0.148,5.750
