nParts,k,frameMs,editMs
20000,1,5.400,0.100
20000,1,5.300,0.200
20000,1,6.000,0.100
20000,1,5.200,0.200
20000,1,5.200,0.100
20000,1,5.800,0.100
20000,1,5.100,0.100
20000,1,5.100,0.100
20000,1,6.500,0.000
20000,1,5.200,0.100
20000,1,5.500,0.100
20000,1,6.100,0.100
20000,1,4.800,0.100
20000,1,5.300,0.200
20000,1,6.600,0.200
20000,1,5.300,0.100
20000,1,5.200,0.100
20000,1,6.000,0.200
20000,1,5.200,0.300
20000,1,5.300,0.100
20000,1,5.500,0.100
20000,1,5.500,0.200
20000,1,12.700,0.100
20000,1,5.500,0.200
20000,1,8.000,0.100
20000,1,5.100,0.200
20000,1,5.300,0.200
20000,1,6.200,0.100
20000,1,5.000,0.200
20000,1,5.200,0.200
20000,1,5.700,0.000
20000,1,5.100,0.100
20000,1,5.200,0.100
20000,1,5.700,0.100
20000,1,5.300,0.200
20000,1,5.200,0.200
20000,1,6.800,0.100
20000,1,5.200,0.100
20000,1,5.200,0.100
20000,1,5.900,0.100
20000,1,4.900,0.200
20000,1,5.000,0.100
20000,1,6.300,0.100
20000,1,4.900,0.100
20000,1,5.100,0.100
20000,1,5.400,0.200
20000,1,4.700,0.100
20000,1,5.300,0.000
20000,1,6.200,0.000
20000,1,5.100,0.200
20000,1,5.300,0.100
20000,1,6.000,0.000
20000,1,5.300,0.100
20000,1,5.200,0.100
20000,1,7.600,0.200
20000,1,4.900,0.100
20000,1,4.800,0.000
20000,1,5.800,0.100
20000,1,5.000,0.100
20000,1,5.000,0.000
20000,1,6.000,0.100
20000,3,5.600,0.200
20000,3,5.900,0.200
20000,3,6.100,0.200
20000,3,5.000,0.100
20000,3,5.700,0.200
20000,3,7.000,0.100
20000,3,5.700,0.200
20000,3,7.900,0.200
20000,3,5.600,0.200
20000,3,5.600,0.100
20000,3,6.100,0.200
20000,3,5.500,0.100
20000,3,5.400,0.200
20000,3,6.600,0.200
20000,3,5.400,0.200
20000,3,9.000,0.300
20000,3,5.400,0.200
20000,3,5.700,0.200
20000,3,6.100,0.100
20000,3,5.300,0.100
20000,3,7.500,0.100
20000,3,5.300,0.200
20000,3,5.600,0.300
20000,3,8.000,0.200
20000,3,5.500,0.300
20000,3,5.500,0.200
20000,3,6.000,0.200
20000,3,5.400,0.100
20000,3,5.700,0.100
20000,3,6.200,0.300
20000,3,5.300,0.200
