nParts,k,frameMs,editMs,gpuMs
68452,1,32.962,0.032,32.125
68452,1,34.147,0.025,33.286
68452,1,33.419,0.024,32.596
68452,1,32.826,0.017,31.992
68452,1,32.799,0.016,31.968
68452,1,32.919,0.017,32.174
68452,1,33.011,0.017,32.186
68452,1,32.990,0.016,32.006
68452,1,33.467,0.018,32.621
68452,1,35.244,0.018,34.385
68452,1,36.004,0.021,34.776
68452,1,35.262,0.017,34.490
68452,1,34.252,0.017,33.421
68452,1,34.682,0.016,33.832
68452,1,34.423,0.023,33.538
68452,1,34.200,0.023,33.418
68452,1,34.083,0.018,33.290
68452,1,33.576,0.017,32.728
68452,1,33.140,0.016,32.302
68452,1,33.178,0.016,32.471
68452,1,33.092,0.018,32.378
68452,1,32.740,0.016,32.025
68452,1,32.989,0.021,32.131
68452,1,32.834,0.017,32.037
68452,1,34.819,0.017,34.029
68452,1,33.350,0.018,32.581
68452,1,32.882,0.017,32.136
68452,1,33.081,0.018,32.269
68452,1,32.540,0.017,31.765
68452,1,32.686,0.018,31.977
68452,1,32.957,0.019,32.156
68452,1,32.817,0.017,32.032
68452,1,32.365,0.018,31.593
68452,1,32.615,0.017,31.929
68452,1,32.672,0.018,31.992
68452,1,32.612,0.017,31.851
68452,1,35.186,0.017,34.381
68452,1,33.058,0.017,32.222
68452,1,33.089,0.017,32.275
68452,1,33.288,0.017,32.497
68452,1,32.646,0.017,31.934
68452,1,33.060,0.018,32.349
68452,1,32.683,0.017,31.922
68452,1,33.263,0.017,32.510
68452,1,32.956,0.029,32.115
68452,1,32.883,0.016,32.144
68452,1,32.816,0.015,32.019
68452,1,32.457,0.016,31.712
68452,1,32.753,0.015,32.040
68452,1,34.330,0.015,33.575
68452,1,32.240,0.016,31.561
68452,1,32.832,0.016,32.054
68452,1,32.467,0.016,31.681
68452,1,32.586,0.014,31.838
68452,1,32.965,0.015,32.322
68452,1,32.913,0.015,32.266
68452,1,32.620,0.015,31.881
68452,1,32.721,0.015,31.966
68452,1,32.685,0.016,31.926
68452,1,32.329,0.015,31.612
68452,3,32.312,0.023,31.532
68452,3,33.550,0.023,32.711
68452,3,32.915,0.022,32.128
68452,3,33.908,0.022,33.135
68452,3,34.182,0.040,33.385
68452,3,33.865,0.022,33.155
68452,3,34.541,0.022,33.850
68452,3,34.136,0.021,33.371
68452,3,33.888,0.022,33.166
68452,3,34.107,0.022,33.337
68452,3,34.153,0.022,33.361
68452,3,33.824,0.032,33.029
68452,3,32.840,0.021,32.073
68452,3,32.584,0.022,31.780
68452,3,32.822,0.022,32.062
68452,3,32.662,0.022,31.932
68452,3,32.920,0.021,32.105
68452,3,33.180,0.022,32.368
68452,3,32.841,0.022,32.058
68452,3,34.502,0.021,33.704
68452,3,32.650,0.021,31.934
68452,3,32.536,0.021,31.757
68452,3,32.808,0.022,32.097
68452,3,32.829,0.022,32.081
68452,3,32.789,0.021,31.989
68452,3,32.623,0.021,31.819
68452,3,32.500,0.021,31.696
68452,3,32.058,0.022,31.363
68452,3,33.455,0.032,32.695
68452,3,32.639,0.022,31.877
68452,3,33.387,0.022,32.686
68452,3,34.493,0.022,33.701
68452,3,33.008,0.021,32.198
68452,3,32.858,0.021,32.007
68452,3,33.149,0.022,32.369
68452,3,32.729,0.044,32.028
68452,3,32.872,0.022,32.129
68452,3,32.986,0.022,32.102
68452,3,32.909,0.021,32.082
68452,3,32.414,0.021,31.602
68452,3,34.763,0.022,34.064
68452,3,34.149,0.021,33.376
68452,3,32.770,0.021,31.998
68452,3,34.188,0.022,31.929
68452,3,32.609,0.032,31.923
68452,3,32.842,0.020,32.082
68452,3,32.526,0.022,31.724
68452,3,32.438,0.021,31.654
68452,3,32.260,0.021,31.474
68452,3,32.818,0.021,32.108
68452,3,33.732,0.022,32.738
68452,3,32.876,0.030,32.071
68452,3,32.734,0.022,31.935
68452,3,32.997,0.022,32.276
68452,3,33.064,0.022,32.274
68452,3,32.968,0.021,32.157
68452,3,34.437,0.022,33.688
68452,3,33.816,0.022,33.147
68452,3,32.991,0.021,32.214
