nParts,k,frameMs,editMs,gpuMs
20000,1,3.197,0.028,2.137
20000,1,3.425,0.027,0.353
20000,1,3.808,0.027,2.680
20000,1,3.591,0.027,2.802
20000,1,3.563,0.029,2.526
20000,1,3.656,0.019,2.588
20000,1,3.472,0.017,2.659
20000,1,3.311,0.023,2.411
20000,1,3.129,0.019,2.190
20000,1,3.141,0.020,2.455
20000,1,3.180,0.010,2.359
20000,1,3.170,0.016,2.454
20000,1,3.192,0.013,2.357
20000,1,3.348,0.015,2.405
20000,1,3.212,0.015,2.234
20000,1,3.099,0.020,2.499
20000,1,3.010,0.016,2.326
20000,1,2.901,0.012,2.406
20000,1,2.846,0.011,2.043
20000,1,3.208,0.017,2.472
20000,1,3.153,0.013,2.188
20000,1,3.246,0.017,2.452
20000,1,3.190,0.018,2.368
20000,1,3.297,0.013,2.592
20000,1,3.135,0.019,2.305
20000,1,3.143,0.013,2.644
20000,1,3.145,0.013,2.152
20000,1,3.260,0.017,2.346
20000,1,3.185,0.018,2.150
20000,1,3.109,0.014,2.374
20000,1,3.107,0.015,2.168
20000,1,3.294,0.013,2.600
20000,1,3.284,0.015,2.215
20000,1,3.210,0.019,2.330
20000,1,3.131,0.014,2.399
20000,1,3.350,0.015,2.677
20000,1,3.246,0.015,2.388
20000,1,3.433,0.016,2.558
20000,1,3.296,0.018,2.378
20000,1,3.386,0.016,2.493
20000,1,3.339,0.022,2.358
20000,1,3.333,0.016,2.434
20000,1,3.184,0.021,2.235
20000,1,3.427,0.017,2.659
20000,1,3.292,0.017,2.241
20000,1,3.326,0.017,2.436
20000,1,3.353,0.018,2.417
20000,1,3.265,0.017,2.375
20000,1,3.275,0.017,2.222
20000,1,3.342,0.015,2.631
20000,1,3.199,0.016,2.212
20000,1,3.322,0.015,2.398
20000,1,3.237,0.015,2.284
20000,1,3.265,0.013,2.291
20000,1,3.191,0.011,2.376
20000,1,3.213,0.018,2.647
20000,1,3.187,0.017,2.447
20000,1,3.047,0.013,2.492
20000,1,3.095,0.011,2.416
20000,1,3.069,0.013,2.590
20000,3,2.613,0.015,2.044
20000,3,2.765,0.014,2.246
20000,3,2.778,0.016,2.147
20000,3,2.789,0.022,2.255
20000,3,2.845,0.016,2.264
20000,3,2.997,0.024,2.427
20000,3,2.919,0.019,2.317
20000,3,3.142,0.019,2.516
20000,3,3.139,0.021,2.395
20000,3,3.140,0.017,2.530
20000,3,3.110,0.020,2.455
20000,3,3.141,0.023,2.601
20000,3,3.187,0.025,2.453
20000,3,3.081,0.021,2.569
20000,3,3.031,0.018,2.351
20000,3,2.915,0.016,2.467
20000,3,2.896,0.018,2.296
