nParts,k,frameMs,editMs,gpuMs
1811,1,1.055,0.030,0.679
1811,1,1.593,0.037,0.686
1811,1,1.376,0.030,0.717
1811,1,1.349,0.019,0.740
1811,1,1.086,0.014,0.599
1811,1,1.143,0.013,0.634
1811,1,1.138,0.013,0.669
1811,1,1.156,0.012,0.579
1811,1,1.128,0.012,0.622
1811,1,1.043,0.013,0.676
1811,1,1.199,0.018,0.582
1811,1,1.167,0.015,0.670
1811,1,1.251,0.017,0.742
1811,1,1.196,0.017,0.631
1811,1,1.305,0.016,0.698
1811,1,1.222,0.018,0.749
1811,1,1.125,0.015,0.617
1811,1,1.230,0.016,0.681
1811,1,1.369,0.019,0.759
1811,1,1.263,0.016,0.611
1811,1,1.188,0.014,0.669
1811,1,1.304,0.015,0.741
1811,1,1.487,0.016,0.656
1811,1,1.358,0.018,0.705
1811,1,1.324,0.016,0.738
1811,1,1.399,0.019,0.663
1811,1,1.296,0.017,0.695
1811,1,1.248,0.016,0.722
1811,1,1.107,0.015,0.592
1811,1,1.206,0.014,0.669
1811,1,1.207,0.015,0.707
1811,1,1.171,0.015,0.619
1811,1,1.045,0.013,0.632
1811,1,0.997,0.012,0.657
1811,1,1.005,0.011,0.580
1811,1,1.011,0.012,0.616
1811,1,1.107,0.012,0.673
1811,1,1.159,0.012,0.586
1811,1,1.200,0.014,0.684
1811,1,1.100,0.016,0.714
1811,1,1.133,0.013,0.583
1811,1,1.131,0.013,0.618
1811,1,1.069,0.013,0.674
1811,1,1.092,0.013,0.594
1811,1,1.187,0.013,0.647
1811,1,1.094,0.014,0.692
1811,1,1.143,0.014,0.625
1811,1,1.205,0.015,0.665
1811,1,1.244,0.015,0.723
1811,1,1.145,0.014,0.610
1811,1,1.179,0.015,0.659
1811,1,1.220,0.014,0.709
1811,1,1.159,0.015,0.620
1811,1,1.225,0.015,0.672
1811,1,1.218,0.014,0.730
1811,1,1.110,0.015,0.608
1811,1,1.105,0.015,0.658
1811,1,1.248,0.013,0.739
1811,1,1.276,0.016,0.613
1811,1,1.075,0.016,0.641
1811,3,1.519,0.024,0.692
1811,3,1.328,0.029,0.768
1811,3,1.152,0.025,0.601
1811,3,1.080,0.021,0.617
1811,3,1.108,0.021,0.672
1811,3,1.141,0.021,0.584
1811,3,1.207,0.023,0.636
1811,3,1.169,0.022,0.707
1811,3,1.139,0.020,0.586
1811,3,1.089,0.021,0.629
1811,3,1.048,0.020,0.679
1811,3,1.046,0.020,0.584
1811,3,1.025,0.020,0.617
1811,3,1.021,0.021,0.664
1811,3,1.079,0.020,0.579
1811,3,1.071,0.020,0.618
1811,3,1.216,0.026,0.752
1811,3,1.261,0.025,0.619
1811,3,1.258,0.022,0.637
1811,3,1.254,0.022,0.689
1811,3,1.092,0.021,0.581
1811,3,1.116,0.023,0.625
1811,3,1.138,0.020,0.666
1811,3,1.072,0.021,0.579
1811,3,1.023,0.021,0.620
1811,3,1.218,0.032,0.677
1811,3,1.181,0.020,0.579
1811,3,1.067,0.021,0.624
1811,3,1.126,0.021,0.678
1811,3,1.118,0.022,0.613
1811,3,1.109,0.023,0.660
1811,3,1.062,0.021,0.692
1811,3,1.129,0.020,0.579
1811,3,1.125,0.020,0.608
1811,3,1.226,0.020,0.686
1811,3,1.345,0.023,0.599
