nParts,k,frameMs,editMs
68452,1,17.100,0.200
68452,1,16.700,0.100
68452,1,16.600,0.100
68452,1,16.700,0.100
68452,1,16.700,0.000
68452,1,16.400,0.100
68452,1,16.800,0.000
68452,1,16.600,0.000
68452,1,16.500,0.000
68452,1,16.700,0.100
68452,1,16.700,0.100
68452,1,16.600,0.100
68452,1,16.500,0.100
68452,1,16.500,0.000
68452,1,17.400,0.100
68452,1,16.600,0.100
68452,1,16.800,0.100
68452,1,16.600,0.000
68452,1,16.800,0.100
68452,1,15.900,0.100
68452,1,17.100,0.100
68452,1,16.400,0.000
68452,1,16.700,0.000
68452,1,16.700,0.100
68452,1,16.700,0.100
68452,1,16.500,0.000
68452,1,16.900,0.000
68452,1,17.000,0.100
68452,1,16.800,0.000
68452,1,16.600,0.100
68452,1,16.700,0.000
68452,1,16.500,0.200
68452,1,16.800,0.100
68452,1,16.700,0.000
68452,1,16.700,0.200
68452,1,15.800,0.100
68452,1,16.600,0.100
68452,1,17.600,0.000
68452,1,16.700,0.000
68452,1,15.700,0.100
68452,1,17.600,0.100
68452,1,16.500,0.200
68452,1,16.500,0.000
68452,1,16.700,0.100
68452,1,16.500,0.100
68452,1,16.600,0.000
68452,1,16.700,0.100
68452,1,16.800,0.000
68452,1,16.300,0.000
68452,1,16.500,0.000
68452,1,17.500,0.100
68452,1,16.500,0.100
68452,1,16.500,0.100
68452,1,16.500,0.100
68452,1,17.300,0.100
68452,1,16.500,0.100
68452,1,16.500,0.000
68452,1,16.600,0.100
68452,1,16.600,0.100
68452,1,16.500,0.000
68452,1,16.900,0.100
68452,3,15.500,0.200
68452,3,16.600,0.000
68452,3,18.000,0.000
68452,3,14.800,0.100
68452,3,18.200,0.200
68452,3,16.900,0.200
68452,3,16.100,0.100
68452,3,17.100,0.100
68452,3,16.200,0.000
68452,3,17.300,0.100
68452,3,17.200,0.100
68452,3,16.700,0.100
68452,3,17.900,0.100
68452,3,15.900,0.100
68452,3,15.000,0.000
68452,3,17.100,0.200
68452,3,15.900,0.100
68452,3,14.100,0.100
68452,3,21.400,0.200
68452,3,16.300,0.100
68452,3,16.600,0.000
68452,3,16.800,0.000
68452,3,13.400,0.100
68452,3,17.400,0.000
68452,3,18.800,0.100
68452,3,17.500,0.100
68452,3,15.200,0.100
68452,3,15.700,0.100
68452,3,17.400,0.100
68452,3,15.200,0.100
68452,3,16.800,0.100
68452,3,18.900,0.000
68452,3,15.200,0.000
68452,3,16.600,0.200
68452,3,18.000,0.100
68452,3,15.200,0.100
68452,3,17.800,0.100
68452,3,15.800,0.100
68452,3,17.800,0.100
68452,3,17.600,0.100
68452,3,15.800,0.000
68452,3,14.400,0.100
68452,3,17.800,0.000
68452,3,16.100,0.100
68452,3,18.700,0.100
68452,3,13.300,0.000
68452,3,17.500,0.100
68452,3,19.200,0.000
68452,3,15.900,0.200
68452,3,16.300,0.000
68452,3,16.400,0.100
68452,3,17.200,0.100
68452,3,14.800,0.100
68452,3,18.800,0.100
68452,3,15.000,0.000
68452,3,19.700,0.100
68452,3,14.700,0.000
68452,3,17.900,0.100
68452,3,15.100,0.100
68452,3,15.600,0.100
68452,3,18.400,0.200
68452,10,17.000,0.100
68452,10,17.400,0.100
68452,10,17.400,0.100
68452,10,20.000,0.200
68452,10,12.600,0.200
68452,10,16.600,0.200
68452,10,16.500,0.100
68452,10,15.400,0.100
68452,10,17.200,0.100
68452,10,15.300,0.100
68452,10,17.500,0.100
68452,10,16.200,0.100
68452,10,16.200,0.100
68452,10,17.700,0.200
68452,10,15.200,0.100
68452,10,16.800,0.100
68452,10,17.500,0.100
68452,10,16.400,0.100
68452,10,17.600,0.100
68452,10,16.100,0.100
68452,10,16.200,0.100
68452,10,17.900,0.200
68452,10,17.400,0.200
68452,10,15.900,0.100
68452,10,16.700,0.200
68452,10,15.000,0.200
68452,10,17.900,0.100
68452,10,16.600,0.200
68452,10,16.800,0.200
68452,10,17.500,0.300
68452,10,15.700,0.100
68452,10,17.400,0.200
68452,10,15.100,0.200
68452,10,18.500,0.100
68452,10,14.700,0.100
68452,10,16.700,0.100
68452,10,17.100,0.100
68452,10,16.400,0.100
68452,10,16.900,0.200
68452,10,17.800,0.200
68452,10,15.900,0.200
68452,10,16.500,0.000
68452,10,16.500,0.100
68452,10,17.000,0.100
68452,10,15.400,0.100
68452,10,16.700,0.100
68452,10,18.500,0.200
68452,10,16.300,0.100
68452,10,16.700,0.100
68452,10,16.700,0.200
68452,10,15.500,0.200
68452,10,18.200,0.100
68452,10,14.700,0.100
68452,10,18.500,0.100
68452,10,16.100,0.200
68452,10,16.200,0.100
68452,10,17.200,0.200
68452,10,16.700,0.100
68452,10,16.600,0.100
68452,10,16.500,0.100
68452,10,16.500,0.200
68452,32,21.100,0.300
68452,32,12.200,0.400
68452,32,20.400,0.300
68452,32,11.800,0.400
68452,32,19.600,0.400
68452,32,14.300,0.300
68452,32,17.100,0.300
68452,32,16.800,0.300
68452,32,20.200,0.300
68452,32,13.500,0.300
68452,32,20.500,0.300
68452,32,13.100,0.300
68452,32,20.500,0.300
68452,32,12.000,0.400
68452,32,16.100,0.300
68452,32,17.400,0.400
68452,32,21.400,0.200
68452,32,10.800,0.300
68452,32,18.200,0.400
68452,32,21.900,0.300
68452,32,8.400,0.300
68452,32,18.600,0.300
68452,32,19.600,0.300
68452,32,13.900,0.400
68452,32,21.300,0.200
68452,32,11.500,0.300
68452,32,20.400,0.300
68452,32,13.400,0.300
68452,32,17.100,0.300
68452,32,16.600,0.400
68452,32,16.000,0.200
68452,32,18.000,0.300
68452,32,16.100,0.400
68452,32,16.600,0.300
68452,32,19.900,0.400
68452,32,13.800,0.400
68452,32,20.300,0.300
68452,32,12.600,0.400
68452,32,21.700,0.300
68452,32,11.100,0.400
68452,32,21.500,0.300
68452,32,12.300,0.300
68452,32,16.900,0.300
68452,32,16.500,0.200
68452,32,21.100,0.300
68452,32,12.800,0.300
68452,32,20.200,0.300
68452,32,11.900,0.400
68452,32,22.900,0.300
68452,32,11.400,0.300
68452,32,16.300,0.300
68452,32,20.700,0.200
68452,32,13.100,0.200
68452,32,20.600,0.300
68452,32,12.600,0.400
68452,32,20.200,0.300
68452,32,12.600,0.400
68452,32,17.300,0.300
68452,32,16.600,0.300
68452,32,16.600,0.200
68452,32,22.300,0.400
68452,100,17.800,0.800
68452,100,16.200,0.900
68452,100,17.600,0.900
68452,100,16.800,0.800
68452,100,16.700,0.900
68452,100,16.400,0.900
68452,100,17.400,0.900
68452,100,15.000,0.800
68452,100,18.100,0.700
68452,100,15.700,0.800
68452,100,17.900,0.900
68452,100,14.600,1.000
68452,100,18.300,0.800
68452,100,16.500,0.800
68452,100,16.500,0.900
68452,100,16.100,0.900
68452,100,18.100,0.900
68452,100,14.900,1.000
68452,100,17.600,0.900
68452,100,16.600,0.800
68452,100,17.300,0.800
68452,100,16.100,0.900
68452,100,16.600,0.800
68452,100,16.900,0.800
68452,100,16.900,0.900
68452,100,16.300,0.800
68452,100,16.700,0.900
68452,100,16.600,0.900
68452,100,16.200,0.800
68452,100,17.000,0.800
68452,100,18.100,0.800
68452,100,15.100,0.900
68452,100,17.600,0.800
68452,100,16.300,0.900
68452,100,16.800,0.700
68452,100,17.100,0.900
68452,100,15.300,1.000
68452,100,15.900,0.900
68452,100,18.600,0.800
68452,100,15.300,0.900
68452,100,17.800,0.900
68452,100,16.600,0.900
68452,100,16.000,0.800
68452,100,16.700,0.800
68452,100,16.200,0.900
68452,100,18.000,1.000
68452,100,14.100,0.900
68452,100,28.200,0.900
68452,100,8.800,0.900
68452,100,17.400,0.800
68452,100,16.400,1.000
68452,100,14.800,0.900
68452,100,17.200,0.900
68452,100,17.100,0.800
