nParts,k,frameMs,editMs
2497,1,15.500,0.000
2497,1,12.100,0.100
2497,1,16.000,0.100
2497,1,18.200,0.000
2497,1,16.400,0.000
2497,1,15.500,0.000
2497,1,17.300,0.100
2497,1,16.500,0.100
2497,1,19.100,0.100
2497,1,15.200,0.100
2497,1,17.600,0.200
2497,1,14.500,0.100
2497,1,17.200,0.100
2497,1,16.900,0.100
2497,1,15.700,0.100
2497,1,16.600,0.000
2497,1,17.300,0.200
2497,1,16.200,0.100
2497,1,18.400,0.200
2497,1,14.700,0.100
2497,1,17.400,0.100
2497,1,17.700,0.100
2497,1,16.000,0.000
2497,1,15.600,0.100
2497,1,20.500,0.100
2497,1,15.100,0.100
2497,1,14.900,0.100
2497,1,16.700,0.100
2497,1,16.800,0.100
2497,1,16.100,0.100
2497,1,16.500,0.100
2497,1,16.700,0.000
2497,1,16.600,0.100
2497,1,16.500,0.000
2497,1,16.700,0.200
2497,1,16.800,0.100
2497,1,18.900,0.200
2497,1,15.100,0.100
2497,1,18.000,0.200
2497,1,18.300,0.100
2497,1,13.300,0.100
2497,1,16.700,1.200
2497,1,19.600,0.200
2497,1,14.400,0.100
2497,1,16.600,0.700
2497,1,16.300,0.000
2497,1,18.000,0.100
2497,1,17.000,0.100
2497,1,16.500,0.100
2497,1,15.300,0.100
2497,1,17.100,0.100
2497,1,16.300,0.100
2497,1,16.700,0.000
2497,1,17.300,0.200
2497,1,15.200,0.100
2497,1,17.300,0.100
2497,1,16.000,0.000
2497,1,17.000,0.100
2497,1,16.700,0.200
2497,1,16.800,0.000
2497,1,16.800,0.100
2497,3,14.000,0.200
2497,3,22.000,0.200
2497,3,11.600,0.100
2497,3,16.800,0.000
2497,3,16.600,0.000
2497,3,16.100,0.100
2497,3,16.700,0.100
2497,3,16.700,0.100
2497,3,17.100,0.100
2497,3,18.900,0.200
2497,3,14.600,0.100
2497,3,16.600,0.100
2497,3,18.000,0.100
2497,3,14.800,0.200
2497,3,16.600,0.100
2497,3,16.700,0.000
2497,3,16.700,0.100
2497,3,17.000,0.100
2497,3,16.600,0.100
2497,3,21.400,0.100
2497,3,16.700,0.100
2497,3,11.900,0.100
2497,3,19.200,0.000
2497,3,14.400,0.000
2497,3,16.300,0.200
