nParts,k,frameMs,editMs
5004,1,16.200,0.000
5004,1,16.200,0.000
5004,1,17.300,0.100
5004,1,16.300,0.100
5004,1,16.300,0.100
5004,1,17.500,0.000
5004,1,16.200,0.100
5004,1,16.300,0.100
5004,1,17.300,0.100
5004,1,16.200,0.100
5004,1,17.100,0.000
5004,1,16.300,0.000
5004,1,16.900,0.100
5004,1,16.300,0.000
5004,1,17.300,0.000
5004,1,16.300,0.000
5004,1,16.300,0.000
5004,1,17.300,0.100
5004,1,16.200,0.000
5004,1,17.100,0.000
5004,1,16.300,0.100
5004,1,17.200,0.100
5004,1,16.000,0.100
5004,1,17.300,0.100
5004,1,16.200,0.100
5004,1,17.100,0.000
5004,1,16.400,0.000
5004,1,16.100,0.100
5004,1,18.000,0.000
5004,1,16.100,0.000
5004,1,16.200,0.000
5004,1,17.100,0.000
5004,1,16.300,0.100
5004,1,17.200,0.100
5004,1,16.700,0.000
5004,1,16.500,0.100
5004,1,16.200,0.100
5004,1,17.200,0.100
5004,1,16.300,0.100
5004,1,17.200,0.000
5004,1,16.100,0.000
5004,1,16.200,0.100
5004,1,17.300,0.000
5004,1,16.300,0.100
5004,1,17.400,0.100
5004,1,16.200,0.200
5004,1,16.300,0.100
5004,1,17.000,0.000
5004,1,17.100,0.000
5004,1,16.000,0.100
5004,1,17.300,0.000
5004,3,16.300,0.100
5004,3,17.600,0.000
5004,3,16.000,0.100
5004,3,16.400,0.100
5004,3,17.500,0.000
5004,3,16.500,0.100
5004,3,16.500,0.000
5004,3,17.100,0.000
5004,3,16.300,0.000
5004,3,16.400,0.100
5004,3,16.700,0.100
5004,3,17.000,0.000
5004,3,17.100,0.100
5004,3,16.100,0.100
5004,3,16.600,0.000
5004,3,16.600,0.000
5004,3,16.400,0.100
5004,3,16.500,0.100
5004,3,17.000,0.100
5004,3,16.200,0.100
5004,3,17.600,0.000
5004,3,16.000,0.000
5004,3,16.900,0.000
5004,3,16.700,0.100
5004,3,16.200,0.100
5004,3,17.400,0.200
5004,3,16.700,0.000
5004,3,16.400,0.000
5004,3,17.100,0.000
5004,3,16.100,0.000
5004,3,16.500,0.100
5004,3,16.500,0.100
5004,3,17.300,0.100
5004,3,15.900,0.200
5004,3,17.000,0.000
5004,3,16.400,0.000
5004,3,17.600,0.100
5004,3,15.900,0.100
5004,3,16.700,0.100
5004,3,17.100,0.100
5004,3,17.000,0.100
5004,3,16.000,0.000
5004,3,16.700,0.000
5004,3,17.100,0.000
5004,3,16.800,0.200
5004,3,15.900,0.100
5004,3,17.400,0.100
5004,3,17.100,0.100
5004,3,16.800,0.000
5004,3,16.300,0.100
5004,3,16.300,0.000
5004,10,17.000,0.000
5004,10,15.900,0.100
5004,10,17.200,0.200
5004,10,17.200,0.200
5004,10,16.200,0.100
5004,10,17.500,0.100
5004,10,16.200,0.100
5004,10,16.500,0.100
5004,10,16.700,0.100
5004,10,16.800,0.200
5004,10,16.700,0.100
5004,10,16.500,0.100
5004,10,16.400,0.100
5004,10,16.600,0.100
5004,10,16.300,0.100
5004,10,16.900,0.100
5004,10,17.000,0.000
5004,10,15.800,0.200
5004,10,17.000,0.100
5004,10,17.200,0.000
5004,10,16.300,0.100
5004,10,17.300,0.100
5004,10,16.200,0.100
5004,10,16.400,0.100
5004,10,16.900,0.100
5004,10,16.200,0.100
5004,10,17.400,0.100
5004,10,16.600,0.200
5004,10,16.200,0.100
5004,10,16.900,0.100
5004,10,17.000,0.200
5004,10,16.500,0.100
5004,10,16.800,0.100
5004,10,16.600,0.100
5004,10,16.300,0.200
5004,10,16.800,0.000
5004,10,16.800,0.000
5004,10,16.600,0.000
5004,10,16.800,0.100
5004,10,16.500,0.200
5004,10,16.500,0.100
5004,10,16.400,0.000
5004,10,17.200,0.200
5004,10,16.600,0.100
5004,10,16.900,0.100
5004,10,16.200,0.100
5004,10,17.100,0.100
5004,10,16.100,0.100
5004,10,17.300,0.100
5004,10,16.000,0.200
5004,10,17.500,0.100
5004,32,16.700,0.200
5004,32,17.000,0.200
5004,32,15.800,0.200
5004,32,16.900,0.200
5004,32,17.100,0.200
5004,32,16.100,0.100
5004,32,16.900,0.200
5004,32,17.200,0.200
5004,32,16.600,0.300
5004,32,16.800,0.100
5004,32,15.700,0.300
5004,32,16.900,0.200
5004,32,16.600,0.200
5004,32,16.900,0.200
5004,32,16.600,0.300
5004,32,16.900,0.200
5004,32,16.800,0.200
5004,32,16.800,0.300
5004,32,16.400,0.200
5004,32,16.600,0.200
5004,32,16.700,0.200
5004,32,16.800,0.300
5004,32,16.600,0.300
5004,32,17.000,0.200
5004,32,15.600,0.100
5004,32,17.900,0.300
5004,32,16.100,0.200
5004,32,16.900,0.200
5004,32,16.700,0.100
5004,32,16.700,0.200
5004,32,16.500,0.200
5004,32,16.700,0.200
5004,32,17.000,0.200
5004,32,15.700,0.200
5004,32,16.900,0.100
5004,32,16.700,0.200
5004,32,16.600,0.100
5004,32,16.700,0.200
5004,32,16.900,0.200
5004,32,16.800,0.200
5004,32,16.700,0.200
5004,32,16.600,0.200
5004,32,16.700,0.200
5004,32,16.700,0.200
5004,32,16.800,0.200
5004,32,16.800,0.200
5004,32,15.800,0.200
5004,32,16.300,0.200
5004,32,17.300,0.200
5004,32,16.600,0.200
5004,32,16.700,0.200
5004,100,17.000,0.600
5004,100,16.800,0.500
5004,100,16.800,0.600
5004,100,16.200,0.500
5004,100,16.800,0.400
5004,100,16.900,0.500
5004,100,16.800,0.600
5004,100,16.000,0.500
5004,100,16.800,0.600
5004,100,16.800,0.400
5004,100,16.700,0.500
5004,100,17.000,0.500
5004,100,16.700,0.500
5004,100,16.900,0.500
5004,100,16.000,0.600
5004,100,16.800,0.500
5004,100,16.900,0.500
5004,100,16.800,0.500
5004,100,16.000,0.500
5004,100,16.900,0.600
5004,100,16.800,0.500
5004,100,16.900,0.500
5004,100,16.200,0.500
5004,100,16.800,0.500
5004,100,16.800,0.600
5004,100,16.800,0.500
5004,100,16.800,0.500
5004,100,16.000,0.400
5004,100,16.900,0.500
5004,100,16.900,0.500
5004,100,17.000,0.400
5004,100,15.700,0.400
5004,100,16.600,0.500
5004,100,17.000,0.400
5004,100,17.300,0.500
5004,100,16.300,0.500
5004,100,16.700,0.500
5004,100,17.000,0.500
5004,100,16.000,0.500
5004,100,17.000,0.500
5004,100,16.600,0.500
5004,100,17.100,0.400
5004,100,15.700,0.500
5004,100,16.900,0.500
5004,100,16.500,0.500
5004,100,17.400,0.400
5004,100,15.900,0.600
5004,100,16.700,0.600
5004,100,16.900,0.500
5004,100,16.900,0.400
5004,100,16.700,0.500
5004,316,17.500,1.200
5004,316,16.300,1.200
5004,316,16.900,1.300
5004,316,16.500,1.200
5004,316,16.700,1.400
5004,316,16.100,1.200
5004,316,16.800,1.300
5004,316,16.900,1.300
5004,316,16.900,1.300
5004,316,16.000,1.200
5004,316,16.800,1.100
5004,316,16.600,1.200
5004,316,17.200,1.200
5004,316,16.000,1.100
5004,316,17.000,1.100
5004,316,17.100,1.200
5004,316,15.900,1.200
5004,316,16.900,1.200
5004,316,17.000,1.200
5004,316,15.900,1.100
5004,316,16.800,1.100
5004,316,17.100,1.300
5004,316,16.100,1.200
5004,316,17.200,1.500
5004,316,17.000,1.400
5004,316,16.000,1.400
5004,316,17.100,1.400
5004,316,16.100,1.400
5004,316,17.300,1.500
5004,316,17.100,1.300
5004,316,15.900,1.400
5004,316,16.800,1.400
5004,316,17.000,1.500
5004,316,16.100,1.400
5004,316,17.000,1.400
5004,316,16.900,1.500
5004,316,16.000,1.400
5004,316,17.000,1.400
5004,316,17.000,1.300
5004,316,16.200,1.400
5004,316,17.100,1.500
5004,316,16.100,1.500
5004,316,17.200,1.400
5004,316,16.100,1.400
5004,316,17.100,1.500
5004,316,16.500,1.400
5004,316,17.100,1.400
5004,316,16.100,1.400
5004,316,17.000,1.500
5004,316,16.900,1.400
5004,316,16.400,1.500
5004,1000,16.800,3.600
5004,1000,16.500,3.500
5004,1000,17.500,3.900
5004,1000,16.400,4.100
5004,1000,16.200,3.900
5004,1000,17.000,4.200
5004,1000,16.400,4.100
5004,1000,17.000,4.200
5004,1000,16.900,4.800
5004,1000,16.500,5.000
5004,1000,16.300,3.600
5004,1000,16.500,3.900
5004,1000,17.000,3.600
5004,1000,16.500,3.500
5004,1000,16.500,3.500
5004,1000,16.700,3.500
5004,1000,16.500,3.500
5004,1000,17.400,3.500
5004,1000,16.000,3.600
5004,1000,16.500,3.600
5004,1000,17.500,3.600
5004,1000,16.700,3.600
5004,1000,16.500,3.400
5004,1000,16.200,3.600
5004,1000,16.800,3.700
5004,1000,16.500,3.600
5004,1000,16.500,3.700
5004,1000,16.600,3.700
5004,1000,17.800,3.900
5004,1000,16.100,4.000
5004,1000,17.000,4.100
5004,1000,16.000,4.300
5004,1000,16.700,4.900
5004,1000,17.300,5.000
5004,1000,16.300,3.600
5004,1000,16.700,3.600
5004,1000,16.500,3.600
5004,1000,16.400,3.600
5004,1000,16.900,3.700
5004,1000,16.500,3.700
5004,1000,16.700,3.900
5004,1000,17.100,3.900
5004,1000,16.100,3.800
5004,1000,17.300,3.700
5004,1000,16.500,3.700
5004,1000,16.700,3.700
5004,1000,16.900,3.600
5004,1000,16.600,3.600
5004,1000,16.300,3.700
5004,1000,16.600,3.600
5004,1000,16.400,3.700
5004,3162,16.900,10.900
5004,3162,17.100,12.200
5004,3162,17.200,15.000
5004,3162,18.100,15.600
5004,3162,18.700,14.400
5004,3162,17.200,11.500
5004,3162,14.200,11.300
5004,3162,14.700,11.500
5004,3162,15.700,11.200
5004,3162,17.100,11.600
5004,3162,17.400,15.700
5004,3162,18.900,15.300
5004,3162,18.500,14.300
5004,3162,17.400,11.200
5004,3162,14.300,11.400
5004,3162,14.400,11.700
5004,3162,16.200,11.500
5004,3162,15.800,11.800
5004,3162,17.200,15.700
5004,3162,18.900,15.800
5004,3162,19.000,15.000
5004,3162,18.200,11.600
5004,3162,14.500,11.400
5004,3162,14.200,11.500
5004,3162,15.200,11.600
5004,3162,16.200,11.900
5004,3162,17.300,15.500
5004,3162,18.700,15.700
5004,3162,19.000,14.700
5004,3162,17.900,11.300
5004,3162,14.400,11.300
5004,3162,14.200,11.500
5004,3162,15.100,11.300
5004,3162,17.200,12.100
5004,3162,17.200,15.700
5004,3162,19.300,15.200
5004,3162,18.400,14.200
5004,3162,17.000,11.600
5004,3162,14.700,11.400
5004,3162,14.500,12.000
5004,3162,15.400,11.700
5004,3162,17.500,13.100
5004,3162,18.600,15.300
5004,3162,18.500,15.300
5004,3162,18.400,13.600
5004,3162,17.600,11.800
5004,3162,14.800,11.200
5004,3162,14.100,11.400
5004,3162,14.100,11.400
5004,3162,16.300,11.700
5004,3162,16.600,14.600
5004,5004,20.300,17.100
5004,5004,20.300,22.800
5004,5004,26.500,22.800
5004,5004,26.300,21.700
5004,5004,25.100,17.700
5004,5004,20.800,17.100
5004,5004,20.500,17.000
5004,5004,20.300,22.500
5004,5004,26.000,22.500
5004,5004,26.500,22.000
5004,5004,25.400,17.500
5004,5004,20.900,17.100
5004,5004,20.400,17.000
5004,5004,20.400,22.200
5004,5004,25.800,22.500
5004,5004,25.800,22.300
5004,5004,25.400,17.900
5004,5004,21.200,17.100
5004,5004,20.300,17.200
5004,5004,20.600,22.600
5004,5004,26.500,22.600
5004,5004,26.100,22.800
5004,5004,26.100,18.400
5004,5004,22.100,17.800
5004,5004,21.600,18.200
5004,5004,22.200,24.100
5004,5004,28.000,23.600
5004,5004,27.800,23.400
5004,5004,27.200,18.400
5004,5004,22.400,18.000
5004,5004,21.800,18.100
5004,5004,21.600,23.000
5004,5004,27.000,23.400
5004,5004,27.200,23.800
5004,5004,27.900,18.600
5004,5004,22.200,17.800
5004,5004,21.900,17.400
5004,5004,20.800,22.200
5004,5004,26.100,23.100
5004,5004,26.400,22.700
5004,5004,26.300,17.800
5004,5004,21.000,17.100
5004,5004,20.600,17.200
5004,5004,20.400,22.700
5004,5004,26.100,23.100
5004,5004,26.700,23.000
5004,5004,26.400,17.700
5004,5004,21.000,17.000
5004,5004,20.500,17.200
5004,5004,20.700,21.700
5004,5004,25.300,23.400
