nParts,k,frames,frameMedMs,frameP90Ms,editMedMs,editP90Ms,gpuMedMs
20000,1,30,0.456,0.535,0.022,0.028,0.134
20000,3,30,0.471,0.664,0.029,0.034,0.134
20000,10,30,0.558,0.612,0.058,0.06,0.135
20000,32,30,0.65,0.722,0.147,0.153,0.135
20000,100,30,1.146,1.239,0.45,0.468,0.135
20000,316,30,2.453,2.651,1.234,1.309,0.145
20000,1000,30,6.62,7.131,3.595,3.826,0.18
20000,3162,30,12.523,21.28,7.484,10.582,0.182
20000,10000,30,32.377,33.808,19.983,20.874,0.187
20000,20000,30,60.064,62.044,38.408,40.722,0.145
