nParts,k,frameMs,editMs,gpuMs
20000,1,1.576,0.063,0.145
20000,1,1.737,0.075,0.142
20000,1,1.528,0.065,0.146
20000,1,1.460,0.069,0.142
20000,1,1.483,0.070,0.143
20000,1,1.458,0.074,0.143
20000,1,1.542,0.065,0.144
20000,1,1.371,0.062,0.138
20000,1,1.503,0.061,0.145
20000,1,1.451,0.062,0.138
20000,1,1.551,0.062,0.143
20000,1,1.454,0.062,0.145
20000,1,1.307,0.065,0.138
20000,1,1.433,0.070,0.143
20000,1,1.311,0.061,0.139
20000,1,1.381,0.061,0.139
20000,1,1.387,0.066,0.138
20000,1,1.400,0.073,0.138
20000,1,1.379,0.073,0.138
20000,1,1.431,0.074,0.139
20000,1,1.241,0.065,0.139
20000,1,1.233,0.061,0.139
20000,1,1.434,0.063,0.139
20000,1,1.324,0.062,0.138
20000,1,1.524,0.062,0.144
20000,1,1.733,0.062,0.149
20000,1,1.453,0.062,0.138
20000,1,1.220,0.062,0.139
20000,1,1.337,0.067,0.139
20000,1,1.282,0.067,0.139
20000,1,1.268,0.065,0.138
20000,1,1.430,0.072,0.139
20000,1,1.424,0.068,0.138
20000,1,3.247,0.066,0.146
20000,1,1.219,0.072,0.139
20000,1,1.555,0.065,0.143
20000,1,1.476,0.061,0.140
20000,1,1.341,0.061,0.139
20000,1,1.315,0.065,0.139
20000,1,1.346,0.061,0.139
20000,1,1.318,0.061,0.139
20000,1,1.231,0.064,0.139
20000,1,1.583,0.061,0.143
20000,1,1.519,0.062,0.142
20000,1,1.574,0.066,0.142
20000,1,1.518,0.066,0.144
20000,1,1.652,0.063,0.144
20000,1,1.481,0.064,0.142
20000,1,1.526,0.064,0.142
20000,1,1.583,0.064,0.142
20000,1,1.485,0.072,0.145
20000,1,1.509,0.066,0.142
20000,1,1.541,0.073,0.144
20000,1,4.901,0.065,0.144
20000,1,1.755,0.075,0.145
20000,1,3.689,0.065,0.144
20000,1,1.570,0.066,0.142
20000,1,1.585,0.068,0.144
20000,1,1.572,0.064,0.142
20000,1,1.521,0.064,0.145
20000,1,3.430,0.066,0.144
20000,1,1.259,0.062,0.138
20000,1,1.505,0.066,0.145
20000,1,1.418,0.063,0.139
20000,1,1.337,0.061,0.139
20000,1,1.312,0.062,0.138
20000,1,1.186,0.062,0.139
20000,1,0.996,0.066,0.138
20000,1,1.118,0.062,0.139
20000,1,1.170,0.065,0.139
20000,1,1.224,0.070,0.139
20000,1,1.231,0.068,0.139
20000,1,1.285,0.062,0.138
20000,1,1.153,0.062,0.139
20000,1,1.389,0.063,0.139
20000,1,1.233,0.063,0.139
20000,1,1.307,0.062,0.138
20000,1,1.386,0.064,0.139
20000,1,1.393,0.062,0.139
20000,1,1.349,0.064,0.139
20000,1,1.522,0.062,0.139
20000,1,1.556,0.063,0.142
20000,1,1.281,0.062,0.139
20000,1,1.218,0.063,0.139
20000,1,1.463,0.062,0.139
20000,1,1.410,0.061,0.139
20000,1,1.569,0.064,0.142
20000,1,1.521,0.063,0.142
20000,1,1.443,0.062,0.139
20000,1,1.271,0.063,0.139
20000,1,1.254,0.061,0.139
20000,1,1.071,0.061,0.138
20000,1,1.039,0.061,0.138
20000,1,28.181,0.062,0.143
20000,1,1.573,0.096,0.143
20000,1,1.232,0.062,0.139
20000,1,1.156,0.062,0.138
20000,1,1.512,0.066,0.139
20000,1,1.483,0.064,0.143
20000,1,1.334,0.062,0.139
20000,1,1.274,0.066,0.139
20000,1,1.186,0.064,0.139
20000,1,1.315,0.062,0.138
20000,1,1.277,0.062,0.139
20000,1,1.327,0.064,0.139
20000,1,1.276,0.062,0.139
20000,1,1.477,0.065,0.144
20000,1,1.181,0.063,0.138
20000,1,1.273,0.066,0.138
20000,1,1.185,0.071,0.139
20000,1,2.052,0.843,0.139
20000,1,1.233,0.066,0.139
20000,1,1.150,0.072,0.139
20000,1,1.320,0.070,0.139
20000,1,1.431,0.065,0.139
20000,1,1.188,0.063,0.138
20000,1,1.105,0.061,0.139
20000,1,1.182,0.065,0.139
20000,1,1.278,0.067,0.138
