nParts,k,frameMs,editMs,gpuMs
20000,3000,96.200,32.054,0.147
20000,3000,90.622,19.883,0.151
20000,3000,118.693,19.492,0.852
20000,3000,96.746,29.587,0.154
20000,3000,85.484,18.560,0.161
20000,3000,138.205,18.664,0.189
20000,3000,71.221,18.753,0.146
20000,3000,89.579,31.790,0.153
20000,3000,91.834,31.537,0.147
20000,3000,124.173,32.372,0.146
20000,3000,96.901,26.028,0.146
20000,3000,94.066,19.362,0.145
20000,3000,128.426,20.172,0.238
20000,3000,94.066,23.363,0.146
20000,3000,87.715,19.092,0.216
20000,3000,129.678,19.674,0.147
20000,3000,87.299,18.944,0.170
20000,3000,87.853,19.477,0.193
20000,3000,71.324,19.949,0.147
20000,3000,133.956,47.895,0.147
20000,3000,88.916,31.294,0.147
20000,3000,132.002,30.660,0.145
20000,3000,90.703,31.382,0.147
20000,3000,92.874,32.258,0.146
20000,3000,94.719,20.202,0.147
20000,3000,120.244,20.570,0.146
20000,3000,99.778,28.044,0.147
20000,3000,90.319,19.564,0.146
20000,3000,116.134,19.420,0.146
20000,3000,98.969,30.020,0.147
20000,3000,84.872,19.129,0.147
20000,3000,129.531,19.765,0.152
20000,3000,86.700,18.991,0.149
20000,3000,93.510,19.762,0.180
20000,3000,132.129,18.942,0.189
20000,3000,87.635,18.390,0.174
20000,3000,85.579,18.242,0.182
20000,3000,83.977,19.836,0.215
20000,3000,132.723,34.413,0.150
20000,3000,81.433,18.629,0.147
20000,3000,130.376,34.113,0.154
20000,3000,70.775,18.892,0.154
20000,3000,134.709,48.099,0.147
20000,3000,90.346,31.274,0.147
20000,3000,137.118,32.175,0.147
20000,3000,92.983,31.175,0.147
20000,3000,92.718,20.124,0.147
20000,3000,118.724,20.636,0.146
20000,3000,98.541,27.591,0.147
20000,3000,91.509,19.307,0.147
20000,3000,130.465,19.458,0.147
20000,3000,87.581,18.701,0.169
20000,3000,87.948,19.285,0.159
20000,3000,72.345,19.512,0.147
20000,3000,135.767,32.727,0.147
20000,3000,89.649,30.108,0.147
20000,3000,94.439,31.003,0.146
20000,3000,92.229,31.263,0.147
20000,3000,139.277,21.256,0.147
20000,3000,90.930,20.458,0.146
20000,3000,91.845,19.956,0.146
20000,3000,120.977,20.103,0.177
20000,3000,99.586,28.390,0.146
20000,3000,91.045,19.161,0.147
20000,3000,124.129,19.302,0.146
20000,3000,89.923,20.783,0.154
20000,3000,86.962,18.943,0.165
20000,3000,74.468,19.043,0.146
20000,3000,132.235,47.602,0.146
20000,3000,87.991,31.351,0.146
20000,3000,133.806,32.087,0.146
20000,3000,92.264,31.517,0.146
20000,3000,92.362,32.238,0.147
20000,3000,93.680,32.588,0.145
20000,3000,140.310,32.336,0.147
20000,3000,96.673,21.672,0.149
20000,3000,91.618,20.066,0.147
20000,3000,92.319,20.272,0.146
20000,3000,125.063,20.763,0.155
20000,3000,99.993,25.936,0.146
20000,3000,91.251,19.983,0.146
20000,3000,124.686,20.180,0.148
20000,3000,94.828,23.757,0.147
20000,3000,90.587,19.777,0.147
20000,3000,118.803,20.195,0.147
20000,3000,97.017,30.014,0.146
20000,3000,89.180,19.046,0.147
20000,3000,123.071,19.483,0.147
20000,3000,90.857,20.327,0.146
20000,3000,86.402,18.859,0.147
20000,3000,71.164,19.045,0.146
20000,3000,133.314,48.228,0.146
20000,3000,88.548,30.709,0.147
20000,3000,131.100,31.095,0.146
20000,3000,89.075,31.001,0.147
20000,3000,92.064,32.301,0.147
20000,3000,91.377,31.616,0.147
20000,3000,144.305,32.233,0.146
20000,3000,90.901,31.276,0.147
20000,3000,90.880,30.953,0.147
20000,3000,91.212,31.362,0.149
20000,3000,141.064,32.755,0.147
20000,3000,90.375,30.880,0.146
20000,3000,90.169,31.217,0.146
20000,3000,91.972,32.280,0.145
20000,3000,139.936,32.982,0.150
20000,3000,91.778,32.162,0.147
20000,3000,93.932,32.935,0.147
20000,3000,93.709,33.282,0.147
20000,3000,134.440,33.623,0.147
20000,3000,92.600,32.524,0.147
20000,3000,91.495,20.122,0.147
20000,3000,92.473,20.201,0.184
20000,3000,129.802,21.188,0.141
20000,3000,95.237,24.606,0.141
20000,3000,90.575,20.486,0.145
20000,3000,124.398,19.943,0.148
20000,3000,90.995,25.563,0.146
20000,3000,85.950,19.933,0.147
20000,3000,129.822,19.869,0.145
20000,3000,84.345,19.415,0.147
20000,3000,86.315,19.469,0.144
20000,3000,82.489,19.490,0.144
20000,3000,135.144,65.624,0.145
20000,3000,82.342,18.723,0.144
20000,3000,130.908,57.845,0.143
20000,3000,80.544,18.658,0.144
20000,3000,131.044,60.075,0.146
20000,3000,80.461,18.248,0.145
20000,3000,115.551,34.759,0.145
20000,3000,89.011,33.320,0.146
20000,3000,134.171,32.055,0.145
20000,3000,89.038,31.076,0.145
20000,3000,90.873,31.646,0.144
20000,3000,91.559,20.202,0.147
20000,3000,130.811,19.785,0.146
20000,3000,86.191,21.554,0.147
20000,3000,83.823,18.948,0.145
20000,3000,124.138,19.397,0.146
20000,3000,84.607,18.710,0.145
20000,3000,70.054,19.551,0.144
20000,3000,88.386,34.511,0.147
20000,3000,135.743,32.111,0.145
20000,3000,89.439,30.186,0.144
20000,3000,89.378,30.629,0.144
20000,3000,90.521,31.262,0.144
20000,3000,142.987,21.053,0.146
20000,3000,92.870,20.397,0.146
20000,3000,93.638,20.477,0.147
20000,3000,132.637,20.970,0.154
20000,3000,90.206,21.551,0.190
20000,3000,85.942,19.678,0.173
20000,3000,124.191,19.127,0.153
20000,3000,85.944,20.991,0.187
20000,3000,84.969,18.566,0.191
20000,3000,68.473,18.654,0.187
20000,3000,131.931,46.999,0.157
20000,3000,85.909,30.333,0.178
20000,3000,132.412,30.954,0.172
20000,3000,89.099,31.231,0.189
20000,3000,92.035,31.676,0.201
20000,3000,93.289,32.166,0.145
20000,3000,139.105,31.752,0.144
20000,3000,94.182,31.318,0.145
20000,3000,92.004,20.817,0.145
20000,3000,91.639,20.375,0.146
20000,3000,120.165,20.134,0.144
20000,3000,97.820,28.204,0.145
20000,3000,90.490,19.921,0.147
20000,3000,120.390,21.518,0.156
20000,3000,98.238,30.357,0.148
20000,3000,90.591,19.752,0.147
20000,3000,129.442,19.714,0.147
20000,3000,90.363,19.135,0.154
20000,3000,89.883,19.206,0.192
20000,3000,82.602,18.695,0.153
20000,3000,137.159,35.243,0.147
20000,3000,70.092,18.153,0.147
20000,3000,129.793,47.082,0.147
20000,3000,86.039,31.564,0.146
20000,3000,134.842,31.920,0.147
