nParts,k,frameMs,editMs,gpuMs
20000,1,1.527,0.063,0.139
20000,1,1.930,0.085,0.219
20000,1,1.494,0.067,0.180
20000,1,1.671,0.063,0.178
20000,1,1.815,0.063,0.174
20000,1,1.728,0.064,0.174
20000,1,1.688,0.062,0.186
20000,1,1.425,0.063,0.139
20000,1,1.709,0.062,0.171
20000,1,1.575,0.063,0.157
20000,1,1.508,0.062,0.162
20000,1,1.579,0.075,0.177
20000,1,1.389,0.077,0.139
20000,1,1.428,0.066,0.139
20000,1,1.459,0.064,0.143
20000,1,1.527,0.061,0.138
20000,1,1.681,0.062,0.164
20000,1,1.480,0.062,0.168
20000,1,1.506,0.062,0.175
20000,1,1.397,0.061,0.139
20000,1,1.254,0.063,0.138
20000,1,1.472,0.076,0.139
20000,1,1.310,0.073,0.139
20000,1,3.173,0.071,0.167
20000,1,1.373,0.098,0.139
20000,1,1.260,0.080,0.139
20000,1,1.303,0.075,0.139
20000,1,1.448,0.074,0.146
20000,1,1.321,0.095,0.140
20000,1,1.462,0.075,0.166
20000,1,1.271,0.075,0.138
20000,1,1.333,0.073,0.139
20000,1,1.505,0.068,0.174
20000,1,5.658,0.081,0.164
20000,1,1.723,0.107,0.182
20000,1,1.564,0.086,0.187
20000,1,2.660,0.088,0.166
20000,1,2.441,0.092,0.165
20000,1,1.496,0.101,0.164
20000,1,2.254,0.083,0.173
20000,1,1.617,0.101,0.179
20000,1,5.347,0.094,0.177
20000,1,1.316,0.094,0.139
20000,1,1.322,0.063,0.139
20000,1,1.341,0.063,0.139
20000,1,3.601,0.062,0.168
20000,1,1.638,0.089,0.175
20000,1,1.553,0.068,0.183
20000,1,1.324,0.064,0.138
20000,1,3.461,0.063,0.165
20000,1,1.204,0.064,0.139
20000,1,1.443,0.065,0.139
20000,1,1.436,0.066,0.138
20000,1,1.111,0.064,0.139
20000,1,1.652,0.061,0.175
20000,1,1.278,0.061,0.139
20000,1,1.245,0.061,0.139
20000,1,1.190,0.068,0.139
20000,1,1.262,0.065,0.139
20000,1,1.176,0.063,0.139
20000,1,1.155,0.062,0.140
20000,1,1.063,0.061,0.139
20000,1,1.012,0.062,0.139
20000,1,1.041,0.063,0.139
20000,1,1.016,0.060,0.139
20000,1,1.086,0.063,0.139
20000,1,1.156,0.063,0.139
20000,1,1.171,0.062,0.139
20000,1,1.137,0.060,0.138
20000,1,0.979,0.063,0.138
20000,1,1.012,0.062,0.138
20000,1,1.355,0.061,0.139
20000,1,1.288,0.063,0.139
20000,1,1.022,0.062,0.139
20000,1,1.025,0.061,0.139
20000,1,1.401,0.068,0.139
20000,1,1.442,0.062,0.139
20000,1,1.082,0.063,0.139
20000,1,1.078,0.063,0.139
20000,1,1.178,0.064,0.139
20000,1,1.262,0.063,0.139
20000,1,1.248,0.063,0.140
20000,1,1.128,0.064,0.138
20000,1,1.094,0.063,0.138
20000,1,1.166,0.061,0.139
20000,1,1.114,0.061,0.139
20000,1,1.108,0.061,0.138
20000,1,30.576,0.062,0.139
20000,1,1.210,0.085,0.139
20000,1,1.116,0.065,0.139
20000,1,1.162,0.062,0.139
20000,1,1.116,0.060,0.139
20000,1,1.167,0.061,0.138
20000,1,1.284,0.072,0.139
20000,1,1.351,0.088,0.138
20000,1,1.280,0.095,0.139
20000,1,1.322,0.088,0.139
20000,1,1.382,0.087,0.139
20000,1,1.262,0.079,0.139
20000,1,1.586,0.067,0.139
20000,1,1.359,0.073,0.140
20000,1,1.450,0.070,0.139
20000,1,1.185,0.079,0.138
20000,1,1.073,0.068,0.139
20000,1,1.160,0.061,0.139
20000,1,1.122,0.064,0.139
20000,1,1.097,0.063,0.139
20000,1,1.230,0.063,0.139
20000,1,1.190,0.069,0.139
20000,1,1.255,0.077,0.138
20000,1,1.209,0.068,0.138
20000,1,1.010,0.064,0.138
20000,1,1.198,0.062,0.138
20000,1,1.135,0.061,0.139
20000,1,1.312,0.062,0.138
20000,1,1.245,0.061,0.139
20000,1,1.619,0.067,0.162
20000,1,1.403,0.078,0.138
20000,1,1.514,0.064,0.161
20000,1,1.581,0.061,0.161
20000,1,1.363,0.061,0.139
20000,1,1.398,0.069,0.139
20000,1,1.314,0.072,0.139
20000,1,1.377,0.076,0.139
20000,1,1.537,0.069,0.170
20000,1,1.309,0.072,0.138
20000,1,1.461,0.070,0.160
20000,1,1.409,0.075,0.139
20000,1,1.403,0.062,0.138
20000,1,1.549,0.060,0.177
20000,1,1.650,0.061,0.171
20000,1,1.303,0.070,0.139
20000,1,1.356,0.069,0.139
20000,1,1.461,0.076,0.157
20000,1,1.266,0.068,0.138
20000,1,1.431,0.067,0.167
20000,1,1.391,0.067,0.144
20000,1,1.382,0.064,0.138
20000,1,1.263,0.066,0.139
20000,1,1.496,0.067,0.164
20000,1,1.386,0.077,0.139
20000,1,1.447,0.072,0.158
20000,1,1.333,0.078,0.139
20000,1,1.441,0.068,0.149
20000,1,4.741,0.075,0.154
20000,1,1.631,0.080,0.185
20000,1,1.524,0.069,0.157
20000,1,1.482,0.067,0.176
20000,1,3.695,0.068,0.177
20000,1,1.305,0.074,0.138
20000,1,1.529,0.068,0.163
20000,1,1.454,0.078,0.165
20000,1,1.301,0.071,0.138
20000,1,1.570,0.068,0.178
20000,1,1.173,0.066,0.139
20000,1,0.958,0.060,0.138
20000,1,1.206,0.061,0.138
20000,1,1.073,0.064,0.138
20000,1,1.082,0.062,0.139
20000,1,1.138,0.062,0.138
20000,1,1.368,0.072,0.139
20000,1,1.283,0.064,0.139
20000,1,1.239,0.070,0.138
20000,1,1.106,0.063,0.138
20000,1,1.040,0.071,0.138
20000,1,0.915,0.067,0.139
20000,1,1.058,0.067,0.138
20000,1,1.079,0.082,0.138
20000,1,1.063,0.069,0.139
20000,1,1.123,0.064,0.139
20000,1,1.079,0.064,0.139
20000,1,1.220,0.063,0.138
20000,1,1.118,0.062,0.139
20000,1,1.165,0.066,0.138
20000,1,1.209,0.065,0.138
20000,1,1.242,0.062,0.139
20000,1,1.276,0.063,0.138
20000,1,1.195,0.064,0.139
20000,1,1.218,0.062,0.139
20000,1,1.034,0.060,0.138
20000,1,1.057,0.061,0.139
20000,1,1.250,0.063,0.139
20000,1,1.263,0.060,0.139
20000,1,1.119,0.059,0.139
20000,1,1.190,0.061,0.138
20000,1,1.254,0.063,0.139
20000,1,1.099,0.062,0.139
20000,1,1.185,0.064,0.139
20000,1,1.155,0.063,0.139
20000,1,1.044,0.064,0.139
20000,1,0.987,0.062,0.139
20000,1,1.138,0.060,0.138
20000,1,1.177,0.064,0.139
20000,1,1.365,0.065,0.139
20000,1,1.378,0.063,0.139
20000,1,1.166,0.062,0.138
20000,1,1.044,0.061,0.139
20000,1,0.993,0.060,0.139
20000,1,1.124,0.065,0.139
20000,1,1.247,0.062,0.138
20000,1,1.313,0.064,0.138
20000,1,1.270,0.065,0.138
20000,1,1.353,0.062,0.139
20000,1,1.227,0.064,0.138
20000,1,1.267,0.062,0.139
20000,1,1.237,0.064,0.139
20000,1,1.322,0.063,0.139
20000,1,1.235,0.066,0.139
20000,1,1.180,0.064,0.138
20000,1,1.227,0.063,0.138
20000,1,1.175,0.062,0.138
20000,1,1.377,0.065,0.138
20000,1,1.363,0.064,0.139
20000,1,1.332,0.062,0.138
20000,1,1.440,0.065,0.139
20000,1,1.324,0.063,0.138
20000,1,1.239,0.065,0.139
20000,1,1.437,0.066,0.139
20000,1,1.411,0.075,0.140
20000,1,1.240,0.084,0.138
20000,1,1.262,0.067,0.140
20000,1,1.366,0.065,0.139
20000,1,4.148,0.065,0.145
20000,1,1.231,0.069,0.138
20000,1,1.339,0.065,0.139
20000,1,1.338,0.066,0.139
20000,1,1.231,0.069,0.139
20000,1,1.206,0.068,0.139
20000,1,1.079,0.065,0.139
20000,1,1.254,0.064,0.139
20000,1,1.256,0.073,0.139
20000,1,1.266,0.069,0.139
20000,1,1.193,0.065,0.139
20000,1,1.220,0.064,0.138
20000,1,1.507,0.066,0.179
20000,1,1.209,0.067,0.139
20000,1,1.318,0.073,0.139
20000,1,1.087,0.073,0.139
20000,1,1.241,0.068,0.139
20000,1,1.324,0.069,0.138
20000,1,1.360,0.067,0.139
20000,1,1.389,0.069,0.149
20000,1,1.317,0.066,0.139
20000,1,1.467,0.069,0.139
20000,1,1.252,0.080,0.139
20000,1,1.369,0.073,0.139
20000,1,1.290,0.070,0.139
20000,1,1.347,0.073,0.139
20000,1,1.208,0.070,0.139
20000,1,4.764,0.068,0.162
20000,1,1.510,0.092,0.146
20000,1,3.621,0.071,0.156
20000,1,1.324,0.078,0.139
20000,1,1.605,0.076,0.162
20000,1,1.177,0.074,0.139
20000,1,1.406,0.066,0.139
20000,1,1.450,0.069,0.158
20000,1,1.440,0.067,0.139
20000,1,1.452,0.070,0.139
