nParts,k,frameMs,editMs,gpuMs
20000,1,0.889,0.078,0.353
20000,1,0.910,0.079,0.353
20000,1,0.867,0.072,0.353
20000,1,0.841,0.073,0.352
20000,1,0.847,0.069,0.373
20000,1,0.863,0.070,0.373
20000,1,0.858,0.073,0.373
20000,1,0.844,0.070,0.373
20000,1,0.854,0.068,0.373
20000,1,0.868,0.070,0.374
20000,1,0.844,0.070,0.373
20000,1,0.847,0.069,0.372
20000,1,0.895,0.075,0.372
20000,1,0.865,0.073,0.372
20000,1,0.868,0.070,0.373
20000,1,0.875,0.069,0.373
20000,1,0.858,0.073,0.372
20000,1,0.868,0.071,0.373
20000,1,0.864,0.070,0.373
20000,1,0.845,0.071,0.373
20000,1,0.855,0.074,0.372
20000,1,0.855,0.070,0.373
20000,1,0.856,0.069,0.372
20000,1,0.863,0.069,0.374
20000,1,0.857,0.071,0.373
20000,1,0.843,0.067,0.372
20000,1,0.846,0.068,0.373
20000,1,0.861,0.080,0.372
20000,1,0.886,0.073,0.373
20000,1,0.856,0.070,0.373
20000,1,0.853,0.069,0.373
20000,1,0.865,0.078,0.373
20000,1,0.858,0.070,0.372
20000,1,0.851,0.070,0.373
20000,1,0.848,0.071,0.372
20000,1,1.847,0.068,0.374
20000,1,0.889,0.085,0.373
20000,1,0.849,0.072,0.372
20000,1,0.837,0.068,0.372
20000,1,0.855,0.077,0.373
20000,1,0.876,0.069,0.373
20000,1,0.922,0.074,0.373
20000,1,0.859,0.071,0.373
20000,1,0.846,0.071,0.373
20000,1,0.858,0.070,0.372
20000,1,0.855,0.069,0.372
20000,1,0.851,0.071,0.373
20000,1,0.852,0.077,0.374
20000,1,0.839,0.068,0.373
20000,1,0.867,0.070,0.372
20000,1,0.858,0.072,0.374
20000,1,0.855,0.070,0.374
20000,1,0.859,0.072,0.373
20000,1,0.853,0.071,0.373
20000,1,0.852,0.070,0.373
20000,1,0.867,0.069,0.374
20000,1,0.841,0.069,0.373
20000,1,0.837,0.069,0.373
20000,1,0.843,0.067,0.373
20000,1,0.874,0.071,0.373
20000,1,0.907,0.079,0.373
20000,1,0.868,0.069,0.373
20000,1,0.849,0.067,0.373
20000,1,0.844,0.068,0.373
20000,1,0.843,0.069,0.373
20000,1,0.853,0.066,0.373
20000,1,0.841,0.069,0.372
20000,1,0.869,0.070,0.372
20000,1,0.859,0.070,0.373
20000,1,0.841,0.069,0.373
20000,1,0.850,0.068,0.372
20000,1,0.840,0.067,0.373
20000,1,0.847,0.068,0.372
20000,1,0.830,0.068,0.373
20000,1,0.856,0.071,0.373
20000,1,0.864,0.068,0.372
20000,1,0.847,0.071,0.373
20000,1,0.852,0.078,0.374
20000,1,0.850,0.068,0.373
20000,1,0.845,0.068,0.374
20000,1,0.867,0.067,0.373
20000,1,0.868,0.071,0.373
20000,1,0.852,0.071,0.373
20000,1,0.865,0.069,0.373
20000,1,0.861,0.078,0.373
20000,1,0.864,0.069,0.372
20000,1,0.866,0.069,0.372
20000,1,0.843,0.067,0.373
20000,1,0.840,0.070,0.372
20000,1,0.852,0.070,0.373
20000,1,0.861,0.069,0.373
20000,1,0.848,0.068,0.373
20000,1,0.865,0.074,0.372
20000,1,0.869,0.067,0.373
20000,1,0.878,0.070,0.372
20000,1,0.883,0.069,0.373
20000,1,0.855,0.070,0.372
20000,1,0.868,0.069,0.372
20000,1,0.869,0.070,0.372
20000,1,0.892,0.071,0.373
20000,1,0.848,0.068,0.373
20000,1,0.853,0.067,0.373
20000,1,0.845,0.073,0.373
20000,1,0.836,0.067,0.373
20000,1,0.840,0.066,0.373
20000,1,0.857,0.071,0.373
20000,1,0.855,0.071,0.373
20000,1,0.842,0.069,0.372
20000,1,0.850,0.069,0.373
20000,1,0.844,0.068,0.373
20000,1,0.837,0.067,0.372
20000,1,0.833,0.068,0.372
20000,1,0.853,0.070,0.374
20000,1,0.846,0.069,0.373
20000,1,0.864,0.070,0.372
20000,1,0.884,0.076,0.373
20000,1,0.865,0.069,0.373
20000,1,0.877,0.069,0.372
20000,1,0.872,0.071,0.373
20000,1,0.846,0.069,0.373
20000,1,0.853,0.068,0.373
20000,1,0.850,0.069,0.373
20000,1,0.860,0.071,0.373
20000,1,0.862,0.076,0.372
20000,1,0.855,0.067,0.374
20000,1,0.866,0.070,0.373
20000,1,0.857,0.069,0.373
20000,1,0.866,0.070,0.373
20000,1,0.908,0.079,0.373
20000,1,0.947,0.072,0.372
20000,1,0.860,0.072,0.372
20000,1,0.863,0.071,0.373
20000,1,0.866,0.078,0.373
20000,1,0.849,0.070,0.373
20000,1,0.868,0.073,0.373
20000,1,0.878,0.073,0.373
20000,1,0.893,0.071,0.373
20000,1,0.865,0.070,0.373
20000,1,0.879,0.072,0.372
20000,1,0.879,0.073,0.372
20000,1,0.873,0.071,0.373
20000,1,0.863,0.071,0.373
20000,1,0.849,0.069,0.373
20000,1,0.843,0.069,0.373
20000,1,0.848,0.068,0.373
20000,1,0.853,0.070,0.373
20000,1,0.853,0.070,0.372
20000,1,0.853,0.072,0.373
20000,1,0.852,0.078,0.373
20000,1,0.839,0.070,0.373
20000,1,0.860,0.069,0.373
20000,1,0.845,0.070,0.372
20000,1,0.848,0.075,0.373
20000,1,0.842,0.071,0.372
20000,1,0.829,0.068,0.373
20000,1,0.848,0.078,0.373
20000,1,0.842,0.068,0.373
20000,1,0.858,0.070,0.373
20000,1,0.848,0.070,0.372
20000,1,0.845,0.070,0.373
20000,1,0.851,0.070,0.373
20000,1,0.847,0.069,0.373
20000,1,0.878,0.079,0.373
20000,1,0.875,0.070,0.372
20000,1,0.892,0.076,0.373
20000,1,0.851,0.069,0.372
20000,1,0.856,0.073,0.373
20000,1,0.854,0.071,0.373
20000,1,0.865,0.071,0.374
20000,1,0.858,0.072,0.373
20000,1,0.849,0.075,0.373
20000,1,0.856,0.074,0.373
20000,1,0.843,0.073,0.373
20000,1,0.839,0.073,0.372
20000,1,0.851,0.072,0.373
20000,1,1.075,0.083,0.373
20000,1,0.900,0.084,0.372
20000,1,0.872,0.078,0.373
20000,1,0.875,0.076,0.373
20000,1,0.899,0.077,0.372
20000,1,0.896,0.090,0.373
20000,1,0.928,0.083,0.373
20000,1,0.989,0.077,0.373
20000,1,0.922,0.078,0.373
20000,1,0.880,0.075,0.373
20000,1,0.892,0.076,0.373
20000,1,0.877,0.077,0.373
20000,1,0.850,0.076,0.373
20000,1,0.862,0.076,0.373
20000,1,0.858,0.076,0.373
20000,1,0.847,0.075,0.372
20000,1,0.846,0.080,0.372
20000,1,0.840,0.073,0.372
20000,1,0.865,0.073,0.372
20000,1,0.957,0.081,0.374
20000,1,0.923,0.079,0.372
20000,1,0.917,0.079,0.373
20000,1,0.904,0.077,0.373
20000,1,0.900,0.076,0.373
20000,1,0.898,0.078,0.372
20000,1,0.895,0.077,0.373
20000,1,0.896,0.077,0.373
20000,1,0.904,0.085,0.373
20000,1,0.889,0.077,0.373
20000,1,0.889,0.075,0.372
20000,1,0.886,0.073,0.373
20000,1,0.883,0.075,0.373
20000,1,0.884,0.077,0.373
20000,1,0.898,0.077,0.373
20000,1,0.899,0.078,0.373
20000,1,0.891,0.079,0.373
20000,1,0.921,0.076,0.372
20000,1,0.952,0.079,0.373
20000,1,0.935,0.080,0.373
20000,1,0.963,0.088,0.373
20000,1,0.937,0.096,0.373
20000,1,0.998,0.087,0.372
20000,1,0.948,0.083,0.372
20000,1,0.910,0.079,0.374
20000,1,0.892,0.081,0.374
20000,1,0.889,0.080,0.372
20000,1,0.889,0.076,0.373
20000,1,3.192,2.299,0.373
20000,1,1.041,0.099,0.373
20000,1,0.974,0.108,0.374
20000,1,0.969,0.094,0.372
20000,1,0.958,0.096,0.372
20000,1,0.901,0.093,0.326
20000,1,0.889,0.092,0.326
20000,1,0.977,0.093,0.327
20000,1,0.872,0.092,0.327
20000,1,0.811,0.076,0.326
20000,1,0.835,0.079,0.326
20000,1,0.806,0.082,0.325
20000,1,0.804,0.077,0.327
20000,1,0.814,0.076,0.326
20000,1,0.796,0.077,0.326
20000,1,0.804,0.076,0.326
20000,1,0.789,0.077,0.326
20000,1,0.834,0.086,0.325
