nParts,k,frameMs,editMs,gpuMs
2000,1,0.829,0.079,0.082
2000,1,0.927,0.083,0.082
2000,1,0.850,0.074,0.083
2000,1,0.807,0.073,0.082
2000,1,0.872,0.081,0.082
2000,1,0.856,0.074,0.083
2000,1,0.861,0.074,0.082
2000,1,0.830,0.076,0.083
2000,1,0.816,0.073,0.082
2000,1,0.846,0.073,0.082
2000,1,0.839,0.075,0.082
2000,1,0.851,0.085,0.082
2000,1,0.800,0.073,0.082
2000,1,0.829,0.071,0.082
2000,1,0.810,0.075,0.082
2000,1,0.808,0.070,0.081
2000,1,0.808,0.071,0.082
2000,1,0.825,0.087,0.082
2000,1,0.941,0.083,0.081
2000,1,0.876,0.074,0.082
2000,1,0.825,0.073,0.082
2000,1,0.835,0.073,0.082
2000,1,0.860,0.073,0.081
2000,1,0.818,0.073,0.081
2000,1,0.815,0.076,0.082
2000,1,0.828,0.072,0.081
2000,1,0.931,0.075,0.081
2000,1,0.956,0.072,0.081
2000,1,0.948,0.079,0.082
2000,1,0.896,0.072,0.082
2000,1,0.918,0.089,0.082
2000,1,0.936,0.072,0.082
2000,1,0.964,0.098,0.081
2000,1,0.933,0.073,0.081
2000,1,0.964,0.082,0.081
2000,1,0.958,0.073,0.081
2000,1,1.040,0.082,0.080
2000,1,0.938,0.072,0.081
2000,1,0.906,0.072,0.081
2000,1,0.902,0.081,0.080
2000,1,0.913,0.080,0.080
2000,1,0.981,0.074,0.080
2000,1,0.908,0.080,0.080
2000,1,0.911,0.089,0.080
2000,1,0.925,0.071,0.081
2000,1,0.915,0.072,0.081
2000,1,1.204,0.073,0.082
2000,1,0.936,0.079,0.081
2000,1,0.905,0.079,0.081
2000,1,0.963,0.072,0.081
2000,1,0.928,0.072,0.081
2000,1,0.928,0.091,0.080
2000,1,0.930,0.077,0.081
2000,1,0.971,0.080,0.081
2000,1,0.926,0.074,0.080
2000,1,0.918,0.080,0.081
2000,1,0.957,0.071,0.080
2000,1,0.901,0.072,0.080
2000,1,0.954,0.091,0.081
2000,1,0.923,0.070,0.082
2000,1,0.900,0.079,0.080
2000,1,0.926,0.072,0.080
2000,1,0.930,0.083,0.081
2000,1,0.922,0.074,0.080
2000,1,0.934,0.079,0.081
2000,1,0.921,0.092,0.080
2000,1,0.937,0.086,0.080
2000,1,7.712,0.072,0.081
2000,1,0.964,0.082,0.081
2000,1,0.934,0.093,0.081
2000,1,0.930,0.073,0.081
2000,1,0.971,0.082,0.081
2000,1,0.939,0.074,0.080
2000,1,0.918,0.080,0.080
2000,1,0.931,0.073,0.080
2000,1,0.919,0.079,0.081
2000,1,0.932,0.091,0.081
2000,1,0.949,0.074,0.080
2000,1,0.899,0.082,0.080
2000,1,0.964,0.072,0.081
2000,1,0.965,0.123,0.081
2000,1,0.924,0.091,0.081
2000,1,0.875,0.072,0.080
2000,1,0.923,0.073,0.080
