nParts,k,frameMs,editMs,gpuMs
2000,1,0.226,0.017,0.027
2000,1,0.321,0.029,0.027
2000,1,0.254,0.020,0.026
2000,1,0.244,0.020,0.027
2000,1,0.238,0.019,0.026
2000,1,0.238,0.019,0.026
2000,1,0.239,0.019,0.026
2000,1,0.238,0.019,0.026
2000,1,0.233,0.019,0.026
2000,1,0.259,0.019,0.026
2000,1,0.265,0.025,0.026
2000,1,0.237,0.020,0.026
2000,1,0.233,0.019,0.026
2000,1,0.233,0.018,0.027
2000,1,0.247,0.018,0.027
2000,1,0.236,0.019,0.027
2000,1,0.238,0.018,0.027
2000,1,0.243,0.019,0.026
2000,1,0.248,0.018,0.026
2000,1,0.240,0.019,0.026
2000,1,0.235,0.019,0.026
2000,1,0.237,0.021,0.027
2000,1,0.248,0.018,0.026
2000,1,0.240,0.019,0.027
2000,1,0.235,0.018,0.027
2000,1,0.234,0.019,0.026
2000,1,0.249,0.018,0.027
2000,1,0.249,0.020,0.027
2000,1,0.237,0.018,0.027
2000,1,0.234,0.019,0.026
2000,1,0.247,0.020,0.026
2000,1,0.239,0.020,0.026
2000,1,0.235,0.020,0.027
2000,1,0.240,0.018,0.026
2000,1,0.273,0.018,0.027
2000,1,0.238,0.019,0.026
2000,1,0.238,0.019,0.026
2000,1,1.101,0.018,0.028
2000,1,0.251,0.023,0.026
2000,1,0.246,0.020,0.027
2000,1,0.239,0.019,0.026
2000,1,0.237,0.018,0.026
2000,1,0.236,0.019,0.026
2000,1,0.242,0.019,0.026
2000,1,0.237,0.018,0.026
2000,1,0.238,0.019,0.026
2000,1,0.250,0.018,0.027
2000,1,0.241,0.019,0.026
2000,1,0.238,0.019,0.027
2000,1,0.235,0.018,0.026
2000,1,0.234,0.019,0.026
2000,1,0.247,0.019,0.026
2000,1,0.237,0.019,0.026
2000,1,0.243,0.019,0.027
2000,1,0.240,0.019,0.026
2000,1,0.254,0.020,0.026
2000,1,0.239,0.019,0.026
2000,1,0.244,0.018,0.027
2000,1,0.244,0.018,0.027
2000,1,0.246,0.020,0.026
2000,1,0.241,0.019,0.026
2000,1,0.244,0.019,0.027
2000,1,0.249,0.019,0.026
2000,1,0.240,0.019,0.026
2000,1,0.238,0.019,0.026
2000,1,0.236,0.018,0.026
2000,1,0.241,0.018,0.027
2000,1,0.241,0.018,0.026
2000,1,0.234,0.018,0.026
2000,1,0.236,0.019,0.026
2000,1,0.241,0.019,0.027
2000,1,0.249,0.021,0.027
2000,1,0.241,0.020,0.027
2000,1,0.237,0.020,0.025
2000,1,0.242,0.019,0.027
2000,1,0.249,0.026,0.027
2000,1,0.241,0.019,0.026
2000,1,0.246,0.019,0.027
2000,1,0.245,0.018,0.027
2000,1,0.240,0.020,0.026
2000,1,0.239,0.020,0.026
2000,1,0.259,0.021,0.026
2000,1,0.254,0.020,0.026
2000,1,0.239,0.020,0.027
2000,1,0.235,0.018,0.025
2000,1,0.238,0.019,0.027
2000,1,0.258,0.019,0.027
2000,1,0.242,0.020,0.027
2000,1,0.252,0.019,0.027
2000,1,0.256,0.036,0.026
2000,1,0.280,0.019,0.027
2000,1,0.242,0.021,0.026
2000,1,0.236,0.019,0.026
2000,1,0.235,0.019,0.026
2000,1,0.250,0.019,0.027
2000,1,0.236,0.019,0.026
2000,1,0.238,0.019,0.027
2000,1,0.242,0.019,0.026
2000,1,0.247,0.020,0.026
2000,1,0.238,0.020,0.027
2000,1,0.234,0.019,0.027
2000,1,0.257,0.018,0.026
2000,1,0.263,0.019,0.027
2000,1,0.244,0.020,0.026
2000,1,0.245,0.019,0.027
2000,1,0.237,0.020,0.027
2000,1,0.244,0.020,0.026
2000,1,0.235,0.019,0.026
2000,1,0.235,0.019,0.026
2000,1,0.234,0.019,0.026
2000,1,0.240,0.020,0.026
2000,1,0.237,0.020,0.027
2000,1,0.235,0.019,0.026
2000,1,0.237,0.019,0.026
2000,1,0.241,0.020,0.027
2000,1,0.235,0.019,0.027
2000,1,0.234,0.019,0.026
2000,1,0.289,0.019,0.026
2000,1,0.252,0.021,0.026
2000,1,0.237,0.019,0.026
2000,1,0.234,0.019,0.025
2000,1,0.291,0.019,0.027
2000,1,0.241,0.020,0.027
2000,1,0.237,0.019,0.026
2000,1,0.235,0.019,0.027
2000,1,0.252,0.019,0.027
2000,1,0.253,0.032,0.027
2000,1,0.235,0.019,0.027
2000,1,0.241,0.019,0.026
2000,1,0.251,0.020,0.027
2000,1,0.242,0.021,0.026
2000,1,0.240,0.020,0.026
2000,1,0.237,0.019,0.026
2000,1,0.246,0.019,0.026
2000,1,0.236,0.019,0.027
2000,1,0.234,0.019,0.026
2000,1,0.239,0.019,0.026
2000,1,0.257,0.019,0.027
2000,1,0.239,0.020,0.026
2000,1,0.234,0.019,0.026
2000,1,0.235,0.019,0.027
2000,1,0.248,0.018,0.026
2000,1,0.239,0.020,0.026
2000,1,0.236,0.020,0.027
2000,1,0.236,0.019,0.026
2000,1,0.247,0.019,0.026
2000,1,0.239,0.019,0.027
2000,1,0.234,0.019,0.027
2000,1,0.236,0.020,0.026
2000,1,0.250,0.020,0.026
2000,1,0.240,0.019,0.027
2000,1,0.236,0.019,0.026
2000,1,0.248,0.019,0.027
2000,1,0.264,0.019,0.026
2000,1,0.240,0.020,0.026
2000,1,0.237,0.019,0.027
2000,1,0.238,0.019,0.026
2000,1,0.247,0.019,0.026
2000,1,0.238,0.020,0.026
2000,1,0.236,0.019,0.026
2000,1,0.236,0.019,0.027
2000,1,0.241,0.019,0.026
2000,1,0.238,0.019,0.027
2000,1,0.236,0.019,0.027
2000,1,0.238,0.019,0.026
2000,1,0.252,0.020,0.027
2000,1,0.244,0.020,0.026
2000,1,0.236,0.020,0.026
2000,1,0.236,0.019,0.026
2000,1,0.241,0.019,0.026
2000,1,0.237,0.019,0.025
2000,1,0.236,0.019,0.027
2000,1,0.236,0.019,0.026
2000,1,0.246,0.022,0.026
2000,1,0.241,0.020,0.026
2000,1,0.236,0.019,0.027
2000,1,0.239,0.019,0.026
2000,1,0.248,0.019,0.026
2000,1,0.240,0.019,0.026
2000,1,0.235,0.019,0.026
2000,1,0.236,0.019,0.026
2000,1,0.246,0.018,0.026
2000,1,0.241,0.021,0.026
2000,1,0.237,0.020,0.026
