nParts,k,frameMs,editMs,gpuMs
50000,1,0.612,0.017,0.306
50000,1,0.793,0.028,0.314
50000,1,0.708,0.024,0.306
50000,1,0.686,0.017,0.306
50000,1,0.671,0.021,0.305
50000,1,0.617,0.018,0.307
50000,1,0.726,0.022,0.306
50000,1,0.724,0.022,0.305
50000,1,0.705,0.022,0.306
50000,1,0.637,0.021,0.305
50000,1,0.662,0.022,0.305
50000,1,0.722,0.018,0.305
50000,1,0.721,0.018,0.306
50000,1,0.752,0.023,0.343
50000,1,0.689,0.018,0.306
50000,1,0.689,0.022,0.306
50000,1,0.580,0.018,0.306
50000,1,0.525,0.022,0.306
50000,1,0.508,0.017,0.307
50000,1,1.265,0.016,0.309
50000,1,0.643,0.022,0.305
50000,1,0.613,0.024,0.305
50000,1,0.514,0.016,0.306
50000,1,0.641,0.020,0.306
50000,1,0.691,0.022,0.305
50000,1,0.697,0.022,0.306
50000,1,0.618,0.017,0.306
50000,1,0.669,0.021,0.306
50000,1,0.643,0.018,0.305
50000,1,0.693,0.022,0.306
50000,1,0.705,0.018,0.306
50000,1,0.687,0.018,0.305
50000,1,0.678,0.017,0.306
50000,1,0.668,0.017,0.306
50000,1,0.649,0.022,0.306
50000,1,0.715,0.018,0.305
50000,1,0.720,0.022,0.305
50000,1,0.746,0.017,0.382
50000,1,0.622,0.017,0.306
50000,1,0.644,0.021,0.306
50000,1,0.569,0.017,0.305
50000,1,0.642,0.019,0.306
50000,1,0.674,0.018,0.307
50000,1,0.702,0.017,0.307
50000,1,0.684,0.017,0.306
50000,1,0.598,0.018,0.306
50000,1,0.640,0.018,0.306
50000,1,0.694,0.018,0.306
50000,1,0.698,0.018,0.306
50000,1,0.710,0.024,0.308
50000,1,0.665,0.022,0.307
50000,1,0.652,0.017,0.306
50000,1,62.563,0.022,0.333
50000,1,0.757,0.033,0.304
50000,1,0.674,0.025,0.305
50000,1,0.702,0.017,0.305
50000,1,0.706,0.017,0.305
50000,1,0.713,0.022,0.305
50000,1,0.710,0.018,0.305
50000,1,0.709,0.019,0.304
50000,1,0.704,0.017,0.305
50000,1,0.694,0.018,0.305
50000,1,0.663,0.022,0.305
50000,1,0.703,0.022,0.305
50000,1,0.672,0.022,0.305
50000,1,0.687,0.016,0.305
50000,1,0.643,0.017,0.304
50000,1,0.700,0.018,0.304
50000,1,0.643,0.017,0.305
50000,1,0.590,0.023,0.304
50000,1,0.595,0.020,0.304
50000,1,0.673,0.017,0.305
50000,1,0.708,0.018,0.305
50000,1,0.701,0.018,0.305
50000,1,0.715,0.018,0.305
50000,1,0.715,0.023,0.305
50000,1,0.700,0.018,0.304
50000,1,0.697,0.024,0.304
50000,1,0.616,0.018,0.305
50000,1,0.702,0.022,0.305
50000,1,0.699,0.022,0.305
50000,1,0.713,0.022,0.304
50000,1,0.698,0.017,0.305
50000,1,0.661,0.022,0.304
50000,1,0.679,0.028,0.304
50000,1,0.676,0.022,0.304
50000,1,0.678,0.018,0.304
50000,1,0.583,0.022,0.306
50000,1,0.596,0.024,0.304
50000,1,0.611,0.017,0.304
50000,1,0.603,0.018,0.304
50000,1,0.706,0.022,0.304
50000,1,0.702,0.017,0.304
50000,1,0.713,0.018,0.305
50000,1,0.707,0.018,0.304
50000,1,0.700,0.018,0.304
50000,1,2.639,0.027,0.344
50000,1,0.597,0.018,0.305
50000,1,0.609,0.023,0.306
50000,1,0.623,0.017,0.306
50000,1,0.641,0.018,0.306
50000,1,0.637,0.017,0.305
50000,1,0.603,0.017,0.306
50000,1,0.553,0.017,0.306
50000,1,0.603,0.016,0.305
50000,1,0.667,0.018,0.305
50000,1,0.710,0.024,0.306
50000,1,0.679,0.017,0.305
50000,1,0.657,0.020,0.305
50000,1,0.606,0.016,0.306
50000,1,0.655,0.016,0.306
50000,1,0.684,0.018,0.305
50000,1,0.698,0.016,0.306
50000,1,0.698,0.023,0.305
50000,1,0.663,0.022,0.305
50000,1,0.602,0.016,0.307
50000,1,0.627,0.015,0.305
50000,1,0.650,0.017,0.306
50000,1,0.611,0.017,0.306
50000,1,0.619,0.016,0.306
50000,1,0.658,0.017,0.306
50000,1,0.573,0.016,0.306
50000,1,0.620,0.021,0.306
50000,1,0.589,0.016,0.305
50000,1,0.641,0.017,0.305
50000,1,0.673,0.016,0.305
50000,1,0.623,0.017,0.305
50000,1,0.690,0.023,0.305
50000,1,0.697,0.023,0.304
50000,1,0.663,0.017,0.306
50000,1,0.614,0.016,0.305
50000,1,0.677,0.016,0.306
50000,1,0.668,0.017,0.306
50000,1,0.695,0.022,0.306
50000,1,0.690,0.024,0.306
50000,1,0.669,0.026,0.306
50000,1,0.612,0.017,0.305
50000,1,0.636,0.024,0.306
50000,1,0.620,0.022,0.305
50000,1,0.691,0.016,0.305
50000,1,0.679,0.016,0.306
50000,1,0.649,0.016,0.306
50000,1,0.695,0.016,0.305
50000,1,0.693,0.017,0.305
50000,1,0.694,0.016,0.305
50000,1,0.699,0.017,0.306
50000,1,0.690,0.016,0.306
50000,1,0.618,0.018,0.306
50000,1,0.668,0.016,0.305
50000,1,0.681,0.017,0.305
50000,1,0.660,0.017,0.305
50000,1,0.654,0.016,0.305
50000,1,0.685,0.016,0.306
50000,1,0.630,0.017,0.305
50000,1,0.683,0.017,0.306
50000,1,0.680,0.017,0.305
50000,1,0.680,0.016,0.305
50000,1,0.688,0.023,0.306
50000,1,0.643,0.017,0.305
50000,1,0.584,0.017,0.305
50000,1,0.663,0.016,0.306
50000,1,0.648,0.015,0.305
50000,1,0.644,0.015,0.305
50000,1,0.632,0.015,0.306
50000,1,0.623,0.015,0.306
50000,1,0.617,0.015,0.306
50000,1,0.650,0.016,0.305
50000,1,0.705,0.018,0.305
50000,1,0.690,0.016,0.306
50000,1,0.700,0.016,0.305
50000,1,0.690,0.016,0.305
50000,1,0.621,0.016,0.305
50000,1,0.685,0.016,0.306
50000,1,0.699,0.017,0.306
50000,1,0.697,0.016,0.305
50000,1,0.678,0.017,0.305
50000,1,0.659,0.016,0.306
50000,1,0.566,0.018,0.305
50000,1,0.648,0.016,0.305
50000,1,0.635,0.016,0.306
50000,1,0.675,0.018,0.305
50000,1,0.669,0.016,0.306
50000,1,0.642,0.017,0.306
50000,1,0.583,0.016,0.305
50000,1,0.651,0.017,0.305
50000,1,0.661,0.016,0.305
50000,1,0.689,0.024,0.305
50000,1,0.667,0.016,0.306
50000,1,0.701,0.016,0.305
50000,1,0.653,0.018,0.306
50000,1,0.698,0.019,0.307
50000,1,0.697,0.016,0.305
50000,1,0.694,0.017,0.306
50000,1,0.685,0.016,0.305
