nParts,k,frameMs,editMs,gpuMs
20000,1,0.817,0.066,0.163
20000,1,0.839,0.102,0.164
20000,1,0.647,0.078,0.163
20000,1,0.720,0.061,0.163
20000,1,0.717,0.064,0.163
20000,1,0.611,0.061,0.163
20000,1,0.586,0.061,0.162
20000,1,0.639,0.067,0.162
20000,1,0.559,0.068,0.163
20000,1,0.558,0.061,0.162
20000,1,0.678,0.061,0.163
20000,1,0.709,0.065,0.163
20000,1,0.698,0.063,0.163
20000,1,0.690,0.062,0.163
20000,1,0.715,0.061,0.163
20000,1,0.665,0.061,0.163
20000,1,0.626,0.063,0.163
20000,1,0.601,0.061,0.163
20000,1,0.605,0.060,0.162
20000,1,1.333,0.061,0.165
20000,1,0.687,0.070,0.162
20000,1,0.657,0.068,0.163
20000,1,0.620,0.063,0.163
20000,1,0.596,0.062,0.163
20000,1,0.612,0.061,0.163
20000,1,0.641,0.059,0.163
20000,1,0.720,0.063,0.163
20000,1,0.711,0.061,0.164
20000,1,0.643,0.060,0.163
20000,1,0.589,0.060,0.162
20000,1,0.616,0.061,0.163
20000,1,0.606,0.067,0.162
20000,1,0.601,0.061,0.163
20000,1,0.702,0.059,0.163
20000,1,0.736,0.062,0.163
20000,1,0.718,0.062,0.163
20000,1,0.726,0.062,0.162
20000,1,0.757,0.064,0.163
20000,1,0.709,0.063,0.163
20000,1,0.683,0.059,0.163
20000,1,0.684,0.061,0.163
20000,1,0.622,0.060,0.164
20000,1,0.580,0.059,0.163
20000,1,0.631,0.068,0.163
20000,1,0.657,0.064,0.163
20000,1,0.594,0.064,0.163
20000,1,0.627,0.061,0.163
20000,1,0.616,0.061,0.163
20000,1,0.696,0.059,0.162
20000,1,0.637,0.062,0.164
20000,1,0.692,0.065,0.163
20000,1,0.667,0.060,0.163
20000,1,0.614,0.060,0.163
20000,1,0.691,0.059,0.162
20000,1,0.683,0.065,0.163
20000,1,0.604,0.064,0.163
20000,1,0.602,0.064,0.163
20000,1,0.590,0.064,0.163
20000,1,0.635,0.062,0.163
20000,1,0.664,0.064,0.163
20000,1,0.672,0.068,0.163
20000,1,0.687,0.066,0.163
20000,1,0.661,0.067,0.163
20000,1,0.658,0.066,0.163
20000,1,0.664,0.067,0.163
20000,1,0.768,0.068,0.163
20000,1,0.767,0.070,0.163
20000,1,0.688,0.066,0.163
20000,1,0.628,0.062,0.163
20000,1,0.694,0.061,0.163
20000,1,0.656,0.064,0.163
20000,1,0.767,0.066,0.163
20000,1,0.662,0.066,0.163
20000,1,0.633,0.065,0.163
20000,1,0.620,0.061,0.163
20000,1,0.669,0.060,0.162
20000,1,0.759,0.066,0.163
20000,1,0.743,0.065,0.163
20000,1,0.659,0.062,0.163
20000,1,0.733,0.064,0.163
20000,1,0.747,0.063,0.163
20000,1,0.729,0.063,0.163
20000,1,0.745,0.065,0.163
20000,1,0.688,0.064,0.163
20000,1,0.713,0.066,0.163
20000,1,0.695,0.060,0.163
20000,1,0.694,0.060,0.163
20000,1,0.704,0.060,0.163
20000,1,0.751,0.062,0.163
20000,1,0.753,0.067,0.163
20000,1,0.760,0.069,0.163
20000,1,0.749,0.068,0.163
20000,1,0.751,0.064,0.163
20000,1,0.719,0.063,0.163
20000,1,0.705,0.073,0.163
20000,1,0.685,0.070,0.163
20000,1,3.188,0.071,0.169
20000,1,0.775,0.087,0.163
20000,1,0.684,0.071,0.163
20000,1,0.641,0.067,0.163
20000,1,0.673,0.073,0.163
20000,1,0.630,0.068,0.163
20000,1,0.674,0.064,0.163
20000,1,0.694,0.064,0.163
20000,1,0.672,0.064,0.163
20000,1,0.681,0.063,0.163
20000,1,0.633,0.062,0.163
20000,1,0.695,0.063,0.163
20000,1,0.734,0.071,0.163
20000,1,0.704,0.070,0.163
20000,1,0.684,0.067,0.163
20000,1,0.714,0.069,0.163
20000,1,0.676,0.068,0.163
20000,1,0.673,0.069,0.163
20000,1,0.724,0.062,0.162
20000,1,0.634,0.063,0.163
20000,1,0.872,0.068,0.163
20000,1,0.598,0.070,0.163
20000,1,0.559,0.063,0.163
20000,1,0.695,0.060,0.163
20000,1,0.676,0.069,0.163
20000,1,0.636,0.066,0.163
20000,1,0.727,0.066,0.164
20000,1,0.682,0.067,0.163
20000,1,0.621,0.065,0.163
20000,1,0.618,0.062,0.164
20000,1,0.609,0.062,0.163
20000,1,0.670,0.060,0.163
20000,1,0.640,0.060,0.163
20000,1,0.668,0.059,0.163
20000,1,0.634,0.059,0.163
20000,1,0.780,0.065,0.163
20000,1,0.748,0.069,0.163
