nParts,k,frameMs,editMs,gpuMs
1000,1,0.406,0.056,0.027
1000,1,0.501,0.071,0.027
1000,1,0.420,0.061,0.026
1000,1,0.446,0.057,0.027
1000,1,0.408,0.058,0.026
1000,1,0.404,0.058,0.026
1000,1,0.400,0.057,0.026
1000,1,0.420,0.057,0.026
1000,1,0.410,0.056,0.026
1000,1,1.192,0.057,0.028
1000,1,0.444,0.061,0.026
1000,1,0.405,0.058,0.026
1000,1,0.404,0.057,0.026
1000,1,0.400,0.057,0.026
1000,1,0.403,0.057,0.026
1000,1,0.617,0.056,0.027
1000,1,0.413,0.059,0.026
1000,1,0.419,0.058,0.026
1000,1,0.493,0.116,0.026
1000,1,0.460,0.068,0.027
1000,1,0.419,0.058,0.027
1000,1,0.421,0.058,0.026
1000,1,0.421,0.060,0.026
1000,1,0.406,0.057,0.026
1000,1,0.426,0.057,0.026
1000,1,0.404,0.057,0.026
1000,1,0.402,0.056,0.026
1000,1,0.411,0.056,0.026
1000,1,0.427,0.057,0.026
1000,1,0.409,0.057,0.026
1000,1,0.404,0.059,0.027
1000,1,0.402,0.058,0.026
1000,1,0.402,0.057,0.026
1000,1,0.402,0.056,0.027
1000,1,0.409,0.056,0.026
1000,1,0.420,0.055,0.026
1000,1,0.402,0.056,0.026
1000,1,0.460,0.056,0.026
1000,1,0.461,0.068,0.026
1000,1,0.445,0.065,0.026
1000,1,0.422,0.058,0.026
1000,1,0.462,0.071,0.026
1000,1,0.453,0.069,0.026
1000,1,0.446,0.057,0.026
1000,1,0.456,0.057,0.026
1000,1,0.452,0.064,0.026
1000,1,0.541,0.064,0.026
1000,1,0.482,0.076,0.026
1000,1,0.452,0.059,0.026
1000,1,0.446,0.058,0.026
1000,1,0.459,0.059,0.026
1000,1,0.504,0.074,0.026
1000,1,0.437,0.057,0.026
1000,1,0.456,0.058,0.026
1000,1,0.437,0.057,0.026
1000,1,0.522,0.057,0.026
1000,1,0.469,0.058,0.026
1000,1,0.445,0.058,0.026
1000,1,0.612,0.058,0.027
1000,1,0.456,0.059,0.026
1000,1,0.437,0.059,0.026
1000,1,0.444,0.057,0.027
1000,1,0.457,0.057,0.026
1000,1,0.433,0.057,0.027
1000,1,0.431,0.057,0.026
1000,1,0.465,0.088,0.026
1000,1,0.434,0.058,0.026
1000,1,0.431,0.057,0.026
1000,1,0.443,0.058,0.026
1000,1,0.445,0.058,0.026
1000,1,0.432,0.058,0.026
1000,1,0.435,0.056,0.026
1000,1,0.450,0.057,0.026
1000,1,0.433,0.057,0.026
1000,1,0.438,0.060,0.026
1000,1,0.429,0.056,0.026
1000,1,0.431,0.057,0.026
1000,1,0.442,0.058,0.027
1000,1,4.642,4.024,0.027
1000,1,0.454,0.068,0.027
1000,1,0.436,0.059,0.026
1000,1,0.438,0.058,0.027
1000,1,0.510,0.058,0.026
1000,1,0.448,0.059,0.026
1000,1,0.457,0.059,0.026
1000,1,0.617,0.059,0.027
1000,1,2.504,0.061,0.031
1000,1,0.464,0.065,0.027
1000,1,0.439,0.058,0.026
1000,1,0.446,0.058,0.026
1000,1,0.433,0.057,0.026
1000,1,0.438,0.058,0.026
1000,1,0.437,0.059,0.026
1000,1,0.432,0.058,0.026
1000,1,0.433,0.058,0.026
1000,1,0.452,0.058,0.026
1000,1,0.454,0.060,0.026
1000,1,0.451,0.059,0.026
1000,1,0.459,0.059,0.026
1000,1,0.434,0.057,0.027
1000,1,0.438,0.059,0.026
1000,1,0.432,0.057,0.026
1000,1,0.463,0.057,0.026
1000,1,0.440,0.057,0.027
1000,1,0.441,0.058,0.027
1000,1,0.444,0.057,0.027
1000,1,0.440,0.056,0.026
1000,1,0.532,0.056,0.027
1000,1,0.443,0.058,0.026
1000,1,0.445,0.057,0.027
1000,1,0.446,0.057,0.026
1000,1,0.441,0.057,0.027
1000,1,0.441,0.057,0.026
1000,1,0.525,0.058,0.026
1000,1,0.453,0.059,0.026
1000,1,0.464,0.058,0.027
1000,1,0.472,0.060,0.027
1000,1,0.479,0.063,0.027
1000,1,0.465,0.061,0.026
1000,1,0.599,0.060,0.027
1000,1,0.474,0.065,0.027
1000,1,0.451,0.059,0.027
1000,1,0.448,0.060,0.026
1000,1,0.439,0.059,0.026
1000,1,0.432,0.058,0.027
1000,1,0.431,0.058,0.027
1000,1,0.431,0.058,0.026
1000,1,0.429,0.058,0.026
1000,1,0.429,0.057,0.026
1000,1,0.429,0.058,0.026
1000,1,0.429,0.057,0.026
1000,1,0.430,0.058,0.026
1000,1,0.457,0.057,0.027
1000,1,0.436,0.059,0.026
1000,1,0.430,0.059,0.027
1000,1,0.431,0.059,0.027
1000,1,0.429,0.058,0.026
1000,1,0.429,0.056,0.026
1000,1,0.435,0.058,0.026
1000,1,0.432,0.058,0.026
1000,1,0.429,0.057,0.026
1000,1,0.435,0.058,0.026
1000,1,0.533,0.059,0.026
1000,1,0.436,0.059,0.026
1000,1,0.436,0.061,0.026
1000,1,0.434,0.062,0.026
1000,1,0.433,0.059,0.027
1000,1,0.433,0.060,0.026
1000,1,0.437,0.060,0.026
1000,1,0.438,0.061,0.026
1000,1,0.512,0.061,0.026
1000,1,0.452,0.064,0.026
1000,1,0.466,0.068,0.027
1000,1,0.461,0.066,0.026
1000,1,0.447,0.064,0.026
1000,1,0.459,0.066,0.027
1000,1,0.447,0.065,0.026
1000,1,0.437,0.063,0.026
1000,1,0.433,0.062,0.027
1000,1,0.434,0.060,0.027
1000,1,0.431,0.061,0.026
1000,1,0.434,0.063,0.027
1000,1,0.433,0.062,0.026
1000,1,0.432,0.061,0.026
1000,1,0.439,0.062,0.026
1000,1,0.429,0.062,0.026
1000,1,0.436,0.061,0.026
1000,1,0.436,0.061,0.026
1000,1,0.434,0.062,0.026
1000,1,0.453,0.079,0.026
1000,1,0.434,0.062,0.026
1000,1,0.433,0.062,0.026
1000,1,0.444,0.063,0.026
1000,1,0.462,0.064,0.027
1000,1,0.448,0.065,0.027
1000,1,0.451,0.065,0.027
1000,1,0.442,0.063,0.026
1000,1,0.524,0.070,0.026
1000,1,0.446,0.063,0.027
1000,1,0.442,0.062,0.026
1000,1,0.439,0.063,0.026
1000,1,0.439,0.063,0.026
1000,1,0.435,0.062,0.026
1000,1,0.438,0.062,0.026
1000,1,0.438,0.063,0.027
1000,1,0.450,0.062,0.026
1000,1,0.514,0.066,0.026
1000,1,0.443,0.065,0.026
1000,1,0.442,0.063,0.026
1000,1,0.439,0.066,0.026
1000,1,0.466,0.064,0.026
1000,1,0.423,0.065,0.026
1000,1,0.411,0.063,0.026
1000,1,0.409,0.063,0.026
1000,1,0.433,0.062,0.026
1000,1,0.458,0.061,0.026
1000,1,0.442,0.063,0.026
1000,1,0.446,0.062,0.026
1000,1,0.440,0.063,0.026
1000,1,0.438,0.061,0.026
1000,1,0.442,0.064,0.026
1000,1,0.439,0.063,0.026
1000,1,0.440,0.063,0.026
1000,1,0.447,0.063,0.026
1000,1,0.440,0.061,0.026
1000,1,0.440,0.062,0.025
1000,1,0.437,0.061,0.025
1000,1,0.437,0.062,0.026
1000,1,0.434,0.062,0.026
1000,1,0.441,0.063,0.026
1000,1,0.447,0.064,0.025
1000,1,0.443,0.064,0.025
1000,1,0.445,0.064,0.025
1000,1,0.499,0.062,0.025
1000,1,0.449,0.064,0.025
1000,1,0.447,0.063,0.026
1000,1,0.450,0.065,0.025
1000,1,0.469,0.063,0.025
1000,1,0.456,0.066,0.025
1000,1,0.455,0.065,0.025
1000,1,0.466,0.066,0.025
1000,1,0.470,0.067,0.025
1000,1,0.463,0.068,0.025
1000,1,0.518,0.064,0.026
1000,1,0.454,0.065,0.026
1000,1,0.446,0.063,0.026
1000,1,0.466,0.064,0.026
1000,1,0.492,0.063,0.026
1000,1,0.450,0.063,0.026
1000,1,0.444,0.063,0.026
1000,1,0.439,0.063,0.026
1000,1,0.418,0.063,0.026
1000,1,0.411,0.063,0.025
1000,1,0.413,0.062,0.026
1000,1,0.409,0.062,0.026
1000,1,0.426,0.065,0.026
1000,1,0.433,0.071,0.026
1000,1,0.405,0.062,0.026
1000,1,0.420,0.063,0.026
1000,1,0.457,0.064,0.026
1000,1,0.414,0.065,0.026
1000,1,0.415,0.062,0.025
1000,1,0.412,0.064,0.026
1000,1,0.412,0.062,0.026
1000,1,0.408,0.062,0.025
1000,1,0.407,0.062,0.026
1000,1,0.407,0.061,0.026
1000,1,0.407,0.062,0.026
1000,1,0.411,0.062,0.026
1000,1,0.452,0.063,0.025
1000,1,0.412,0.064,0.026
1000,1,0.407,0.063,0.026
1000,1,0.405,0.063,0.026
1000,1,0.402,0.060,0.026
1000,1,0.406,0.062,0.026
1000,1,0.406,0.061,0.026
1000,1,0.409,0.062,0.025
1000,1,0.433,0.062,0.026
1000,1,0.442,0.064,0.026
1000,1,0.454,0.074,0.025
1000,1,0.443,0.066,0.026
1000,1,0.593,0.072,0.026
1000,1,0.464,0.072,0.026
1000,1,0.445,0.067,0.026
1000,1,0.602,0.091,0.026
1000,1,0.468,0.071,0.026
1000,1,0.453,0.066,0.025
1000,1,0.435,0.072,0.025
1000,1,0.432,0.071,0.026
1000,1,0.408,0.063,0.025
1000,1,0.416,0.072,0.026
1000,1,0.406,0.063,0.025
1000,1,0.416,0.063,0.026
1000,1,0.418,0.062,0.026
1000,1,0.407,0.062,0.026
1000,1,0.407,0.062,0.026
1000,1,0.416,0.062,0.026
1000,1,0.426,0.062,0.025
1000,1,0.427,0.062,0.026
1000,1,0.506,0.063,0.025
1000,1,0.418,0.064,0.025
1000,1,0.406,0.063,0.025
1000,1,0.408,0.063,0.025
1000,1,0.406,0.062,0.025
1000,1,0.411,0.062,0.026
1000,1,0.407,0.061,0.025
1000,1,0.451,0.061,0.026
1000,1,0.411,0.062,0.026
1000,1,0.411,0.063,0.025
1000,1,0.411,0.064,0.025
1000,1,0.407,0.062,0.025
1000,1,0.422,0.063,0.025
1000,1,0.480,0.064,0.024
1000,1,0.407,0.062,0.025
1000,1,0.409,0.061,0.025
1000,1,0.494,0.062,0.025
1000,1,0.414,0.063,0.025
1000,1,0.410,0.062,0.025
1000,1,0.408,0.063,0.025
1000,1,0.408,0.063,0.025
1000,1,0.411,0.063,0.025
1000,1,0.407,0.062,0.025
1000,1,0.413,0.069,0.025
1000,1,0.411,0.061,0.025
1000,1,0.409,0.062,0.026
1000,1,0.438,0.062,0.025
1000,1,0.409,0.062,0.025
1000,1,0.461,0.062,0.025
1000,1,0.541,0.075,0.026
1000,1,0.485,0.067,0.025
1000,1,0.419,0.065,0.025
