nParts,k,frameMs,editMs,gpuMs
100000,1,1.161,0.028,0.707
100000,1,2.512,0.046,1.592
100000,1,1.297,0.043,0.705
100000,1,1.088,0.036,0.706
100000,1,1.131,0.030,0.705
100000,1,1.185,0.027,0.706
100000,1,1.163,0.036,0.705
100000,1,1.136,0.033,0.705
100000,1,1.244,0.035,0.705
100000,1,1.401,0.045,0.705
100000,1,1.391,0.049,0.705
100000,1,4.095,0.040,1.840
100000,1,1.266,0.048,0.708
100000,1,1.182,0.038,0.705
100000,1,1.084,0.027,0.706
100000,1,1.181,0.034,0.706
100000,1,1.185,0.028,0.705
100000,1,1.512,0.038,0.886
100000,1,1.135,0.032,0.705
100000,1,2.076,0.040,0.711
100000,1,1.231,0.048,0.707
100000,1,1.043,0.042,0.705
100000,1,1.181,0.040,0.709
100000,1,1.138,0.045,0.709
100000,1,1.108,0.040,0.705
100000,1,1.075,0.029,0.705
100000,1,1.119,0.033,0.704
100000,1,1.099,0.031,0.704
100000,1,1.059,0.029,0.704
100000,1,1.088,0.028,0.704
100000,1,1.067,0.027,0.705
100000,1,1.122,0.034,0.704
100000,1,1.062,0.027,0.705
100000,1,1.048,0.035,0.705
100000,1,1.137,0.037,0.704
100000,1,1.126,0.025,0.707
100000,1,1.078,0.034,0.704
100000,1,1.219,0.028,0.711
100000,1,1.185,0.032,0.704
100000,1,1.103,0.034,0.703
100000,1,1.080,0.029,0.703
100000,1,1.058,0.027,0.704
100000,1,1.079,0.021,0.704
100000,1,1.082,0.021,0.705
100000,1,1.088,0.023,0.705
100000,1,1.025,0.032,0.704
100000,1,1.128,0.021,0.705
100000,1,1.080,0.023,0.703
100000,1,1.077,0.032,0.704
100000,1,1.258,0.030,0.704
100000,1,1.285,0.035,0.705
100000,1,1.277,0.030,0.709
100000,1,1.350,0.037,0.704
100000,1,1.393,0.045,0.710
100000,1,1.111,0.047,0.704
100000,1,1.068,0.026,0.705
100000,1,1.000,0.029,0.704
100000,1,0.989,0.018,0.705
100000,1,1.047,0.025,0.704
100000,1,1.014,0.019,0.705
100000,1,0.982,0.019,0.704
100000,1,1.037,0.021,0.704
100000,1,1.231,0.027,0.704
100000,1,1.045,0.028,0.705
100000,1,1.260,0.029,0.707
100000,1,1.177,0.032,0.704
100000,1,1.185,0.027,0.711
100000,1,1.179,0.029,0.704
100000,1,1.086,0.020,0.704
100000,1,1.076,0.026,0.704
100000,1,1.057,0.024,0.704
100000,1,1.079,0.021,0.704
100000,1,1.049,0.025,0.704
100000,1,0.973,0.022,0.704
100000,1,0.954,0.022,0.704
100000,1,0.953,0.034,0.704
100000,1,1.011,0.021,0.704
