nParts,k,frameMs,editMs
20000,1,3.700,0.000
20000,1,3.800,0.000
20000,1,3.700,0.000
20000,1,5.300,0.100
20000,1,3.500,0.100
20000,1,3.600,0.100
20000,1,4.000,0.200
20000,1,4.500,0.100
20000,1,3.500,0.000
20000,1,3.900,0.100
20000,1,3.600,0.100
20000,1,6.200,0.000
20000,1,3.700,0.000
20000,1,3.800,0.100
20000,1,3.600,0.000
20000,1,4.100,0.100
20000,1,3.700,0.100
20000,1,3.900,0.100
20000,1,3.900,0.100
20000,1,5.400,0.100
20000,1,3.600,0.100
20000,1,3.900,0.000
20000,1,3.800,0.000
20000,1,6.000,0.200
20000,1,4.100,0.000
20000,1,3.800,0.000
20000,1,3.900,0.100
20000,1,4.900,0.000
20000,1,3.700,0.000
20000,1,3.700,0.000
20000,1,3.700,0.100
20000,1,4.400,0.100
20000,1,3.600,0.000
20000,1,4.100,0.000
20000,1,3.700,0.100
20000,1,4.700,0.000
20000,1,3.500,0.000
20000,1,3.700,0.100
20000,1,3.900,0.000
20000,1,5.300,0.100
20000,1,3.700,0.100
20000,1,3.800,0.000
20000,1,4.000,0.100
20000,1,4.800,0.100
20000,1,3.700,0.000
20000,1,3.800,0.000
20000,1,3.900,0.100
20000,1,5.700,0.000
20000,1,3.600,0.100
20000,1,3.800,0.100
20000,1,3.800,0.000
20000,1,4.200,0.100
20000,1,3.500,0.100
20000,1,4.000,0.100
20000,1,3.600,0.100
20000,1,6.100,0.100
20000,1,3.600,0.200
20000,1,3.700,0.100
20000,1,3.800,0.100
20000,1,5.100,0.100
20000,1,3.700,0.100
20000,3,3.800,0.100
20000,3,4.300,0.100
20000,3,3.700,0.100
20000,3,3.700,0.000
20000,3,3.700,0.100
20000,3,5.800,0.100
20000,3,3.600,0.000
20000,3,3.700,0.100
20000,3,3.800,0.100
20000,3,4.900,0.100
20000,3,3.500,0.100
20000,3,3.900,0.100
20000,3,3.800,0.100
20000,3,5.100,0.000
20000,3,3.700,0.100
20000,3,4.000,0.100
20000,3,3.900,0.100
20000,3,5.600,0.100
20000,3,3.500,0.100
20000,3,3.900,0.200
20000,3,3.600,0.100
20000,3,5.000,0.100
20000,3,3.700,0.000
20000,3,3.700,0.100
20000,3,3.900,0.200
20000,3,8.400,0.100
20000,3,3.800,0.100
20000,3,3.900,0.100
20000,3,5.100,0.000
20000,3,3.600,0.100
20000,3,3.800,0.100
20000,3,4.000,0.100
20000,3,4.900,0.100
20000,3,3.700,0.100
20000,3,3.900,0.100
20000,3,3.800,0.100
20000,3,5.100,0.200
20000,3,3.700,0.100
20000,3,3.900,0.100
20000,3,3.800,0.100
20000,3,4.700,0.100
20000,3,3.500,0.000
20000,3,3.700,0.100
20000,3,3.900,0.000
20000,3,5.900,0.100
20000,3,3.700,0.100
20000,3,3.600,0.100
20000,3,3.700,0.100
20000,3,4.900,0.100
20000,3,3.700,0.100
20000,3,4.000,0.000
20000,3,3.900,0.100
20000,3,5.000,0.000
20000,3,3.500,0.100
20000,3,3.900,0.100
20000,3,3.800,0.100
20000,3,5.200,0.100
20000,3,3.900,0.000
20000,3,4.100,0.100
20000,3,3.700,0.100
20000,3,4.900,0.100
20000,10,3.800,0.100
20000,10,3.800,0.200
20000,10,4.200,0.100
20000,10,3.800,0.100
20000,10,3.700,0.200
20000,10,3.800,0.100
20000,10,5.400,0.000
20000,10,3.600,0.100
20000,10,3.900,0.100
20000,10,3.700,0.100
20000,10,4.900,0.100
20000,10,3.700,0.200
20000,10,3.900,0.000
20000,10,4.000,0.100
20000,10,5.000,0.000
20000,10,3.800,0.200
20000,10,3.900,0.200
20000,10,3.800,0.200
20000,10,4.800,0.200
20000,10,3.800,0.100
20000,10,3.700,0.200
20000,10,3.800,0.100
20000,10,5.000,0.100
20000,10,3.800,0.100
20000,10,3.700,0.100
20000,10,3.800,0.200
20000,10,5.200,0.100
20000,10,4.000,0.200
20000,10,4.000,0.100
20000,10,3.900,0.100
20000,10,4.400,0.100
20000,10,3.400,0.100
20000,10,3.700,0.000
20000,10,3.900,0.100
20000,10,4.800,0.100
20000,10,3.800,0.200
20000,10,3.800,0.100
20000,10,4.000,0.200
20000,10,5.200,0.200
