nParts,k,frameMs,editMs
68452,1,3.700,0.100
68452,1,5.700,0.100
68452,1,3.700,0.000
68452,1,3.700,0.200
68452,1,3.700,0.000
68452,1,4.800,0.100
68452,1,3.500,0.000
68452,1,3.800,0.100
68452,1,3.900,0.000
68452,1,4.600,0.000
68452,1,3.600,0.000
68452,1,3.700,0.000
68452,1,3.700,0.000
68452,1,4.500,0.000
68452,1,3.600,0.000
68452,1,3.600,0.000
68452,1,3.700,0.000
68452,1,6.100,0.000
68452,1,3.600,0.100
68452,1,3.500,0.000
68452,1,3.700,0.100
68452,1,5.300,0.000
68452,1,3.700,0.100
68452,1,3.800,0.000
68452,1,3.600,0.100
68452,1,4.400,0.000
68452,1,3.700,0.100
68452,1,3.700,0.000
68452,1,3.600,0.000
68452,1,5.800,0.000
68452,1,3.600,0.000
68452,1,3.700,0.000
68452,1,4.100,0.000
68452,1,5.700,0.000
68452,1,3.500,0.000
68452,1,3.700,0.000
68452,1,3.900,0.000
68452,1,4.400,0.100
68452,1,3.600,0.000
68452,1,3.800,0.100
68452,1,3.700,0.000
68452,1,5.700,0.000
68452,1,3.600,0.100
68452,1,3.500,0.000
68452,1,3.600,0.100
68452,1,5.500,0.100
68452,1,3.600,0.000
68452,1,3.700,0.100
68452,1,3.500,0.100
68452,1,6.300,0.100
68452,1,3.800,0.100
68452,1,3.800,0.000
68452,1,4.000,0.100
68452,1,4.400,0.100
68452,1,3.600,0.100
68452,1,3.800,0.100
68452,1,3.800,0.100
68452,1,6.300,0.000
68452,1,3.700,0.000
68452,1,3.800,0.000
68452,1,3.600,0.100
68452,3,3.600,0.100
68452,3,3.500,0.000
68452,3,3.700,0.100
68452,3,5.600,0.100
68452,3,3.700,0.100
68452,3,3.500,0.100
68452,3,3.900,0.100
68452,3,4.600,0.000
68452,3,3.900,0.100
68452,3,3.700,0.100
68452,3,3.700,0.100
68452,3,4.600,0.000
68452,3,3.800,0.100
68452,3,3.600,0.000
68452,3,3.500,0.100
68452,3,6.500,0.100
68452,3,3.800,0.100
68452,3,3.800,0.100
68452,3,3.800,0.100
68452,3,4.200,0.100
68452,3,3.600,0.100
68452,3,3.800,0.200
68452,3,3.600,0.000
68452,3,5.800,0.000
68452,3,4.600,0.100
68452,3,3.900,0.000
68452,3,3.500,0.100
68452,3,4.300,0.000
68452,3,3.800,0.100
68452,3,3.600,0.100
68452,3,3.600,0.000
68452,3,5.200,0.100
68452,3,3.500,0.000
68452,3,3.600,0.100
68452,3,3.600,0.000
68452,3,5.300,0.100
68452,3,3.700,0.100
68452,3,3.700,0.100
68452,3,3.600,0.100
68452,3,5.200,0.200
68452,3,3.800,0.100
68452,3,3.600,0.000
68452,3,3.800,0.100
68452,3,5.800,0.000
68452,3,4.700,0.100
68452,3,4.200,0.100
68452,3,7.100,0.000
68452,3,3.500,0.000
68452,3,3.900,0.100
68452,3,3.900,0.100
68452,3,5.900,0.000
68452,3,3.600,0.100
68452,3,3.700,0.100
68452,3,3.600,0.000
68452,3,4.600,0.100
68452,3,3.400,0.000
68452,3,3.700,0.100
68452,3,3.700,0.100
68452,3,6.200,0.000
68452,3,3.700,0.100
68452,3,3.900,0.100
68452,10,4.300,0.200
68452,10,3.800,0.200
68452,10,3.800,0.100
68452,10,3.900,0.100
68452,10,4.500,0.100
68452,10,3.900,0.100
68452,10,3.800,0.100
68452,10,3.800,0.100
68452,10,6.100,0.200
68452,10,3.900,0.100
68452,10,4.100,0.200
68452,10,4.100,0.200
68452,10,5.100,0.100
68452,10,3.900,0.100
68452,10,3.800,0.100
68452,10,3.700,0.200
68452,10,4.600,0.000
68452,10,3.500,0.100
68452,10,3.700,0.100
68452,10,3.800,0.000
68452,10,4.400,0.100
68452,10,3.700,0.100
68452,10,3.900,0.100
68452,10,4.000,0.200
68452,10,4.100,0.100
68452,10,3.500,0.100
68452,10,3.800,0.100
68452,10,3.800,0.100
68452,10,5.900,0.000
68452,10,3.900,0.200
68452,10,3.900,0.200
68452,10,4.000,0.200
68452,10,4.400,0.100
68452,10,3.800,0.200
68452,10,3.900,0.100
68452,10,3.800,0.200
68452,10,5.900,0.200
68452,10,3.600,0.200
68452,10,3.900,0.100
68452,10,3.800,0.100
68452,10,4.300,0.100
68452,10,3.500,0.100
68452,10,3.800,0.200
68452,10,3.800,0.100
68452,10,6.100,0.100
68452,10,3.800,0.200
68452,10,3.700,0.100
68452,10,3.700,0.100
68452,10,4.900,0.200
68452,10,3.600,0.000
68452,10,3.700,0.000
68452,10,3.600,0.000
68452,10,5.500,0.200
68452,10,3.700,0.100
68452,10,3.900,0.100
68452,10,3.900,0.100
68452,10,4.700,0.100
68452,10,4.000,0.100
68452,10,3.900,0.100
68452,10,3.800,0.100
68452,10,5.600,0.200
68452,32,3.900,0.300
68452,32,3.600,0.200
68452,32,4.900,0.300
68452,32,4.000,0.300
68452,32,4.200,0.200
68452,32,3.800,0.200
68452,32,4.900,0.300
68452,32,3.900,0.400
68452,32,3.800,0.300
68452,32,3.900,0.300
68452,32,4.600,0.300
68452,32,4.200,0.200
68452,32,3.900,0.200
68452,32,4.200,0.300
68452,32,4.700,0.200
68452,32,4.000,0.300
68452,32,4.100,0.300
68452,32,4.000,0.300
68452,32,4.200,0.300
68452,32,4.000,0.300
68452,32,3.900,0.200
68452,32,4.000,0.300
68452,32,3.800,0.300
68452,32,4.100,0.300
68452,32,3.700,0.200
68452,32,3.900,0.200
68452,32,4.900,0.200
68452,32,4.000,0.300
68452,32,3.800,0.300
68452,32,3.700,0.300
68452,32,4.100,0.200
68452,32,3.800,0.300
68452,32,4.000,0.400
68452,32,3.800,0.400
68452,32,4.700,0.300
68452,32,4.100,0.300
68452,32,4.100,0.300
68452,32,3.900,0.200
68452,32,4.800,0.300
68452,32,3.800,0.300
68452,32,4.200,0.300
68452,32,4.200,0.300
68452,32,4.800,0.200
68452,32,3.800,0.200
68452,32,4.000,0.300
68452,32,4.000,0.300
68452,32,4.300,0.300
68452,32,3.700,0.200
68452,32,3.900,0.300
68452,32,3.900,0.200
