nParts,k,frameMs,editMs
1811,1,4.200,0.000
1811,1,4.200,0.000
1811,1,4.100,0.100
1811,1,3.900,0.100
1811,1,4.000,0.100
1811,1,4.200,0.000
1811,1,4.200,0.100
1811,1,4.200,0.100
1811,1,6.400,0.000
1811,1,3.900,0.000
1811,1,3.900,0.100
1811,1,4.000,0.000
1811,1,4.700,0.100
1811,1,3.800,0.000
1811,1,4.000,0.100
1811,1,4.100,0.000
1811,1,4.900,0.100
1811,1,3.300,0.000
1811,1,4.000,0.000
1811,1,4.400,0.100
1811,1,5.300,0.100
1811,1,4.100,0.100
1811,1,4.100,0.000
1811,1,5.300,0.100
1811,1,3.800,0.100
1811,1,3.400,0.200
1811,1,3.700,0.000
1811,1,6.000,0.000
1811,1,3.800,0.000
1811,1,4.000,0.100
1811,1,4.000,0.000
1811,1,5.300,0.100
1811,1,3.800,0.200
1811,1,3.900,0.000
1811,1,3.900,0.000
1811,1,4.700,0.100
1811,1,4.000,0.100
1811,1,4.100,0.100
1811,1,3.900,0.100
1811,1,5.000,0.000
1811,1,3.600,0.000
1811,1,3.700,0.000
1811,1,3.800,0.000
1811,1,4.400,0.100
1811,1,3.800,0.100
1811,1,3.900,0.000
1811,1,3.900,0.000
1811,1,4.100,0.200
1811,1,4.000,0.100
1811,1,4.000,0.100
1811,1,4.000,0.000
1811,1,4.600,0.100
1811,1,3.600,0.000
1811,1,4.100,0.200
1811,1,4.000,0.100
1811,1,4.800,0.100
1811,1,3.900,0.000
1811,1,3.700,0.000
1811,1,4.000,0.100
1811,1,2.500,0.200
1811,1,3.600,0.100
1811,3,7.000,0.100
1811,3,3.900,0.100
1811,3,4.000,0.000
1811,3,4.000,0.000
1811,3,4.600,0.200
1811,3,3.700,0.100
1811,3,4.000,0.100
1811,3,4.900,0.100
1811,3,4.000,0.000
1811,3,7.300,0.100
1811,3,4.000,0.000
1811,3,4.900,0.100
1811,3,4.000,0.000
1811,3,4.000,0.100
1811,3,3.900,0.100
1811,3,4.400,0.100
1811,3,3.800,0.000
1811,3,3.900,0.100
1811,3,4.100,0.100
1811,3,4.300,0.100
1811,3,4.100,0.000
1811,3,4.000,0.000
1811,3,4.300,0.100
1811,3,4.600,0.100
1811,3,4.100,0.100
1811,3,3.800,0.100
1811,3,3.800,0.000
1811,3,4.000,0.100
1811,3,4.100,0.200
1811,3,4.100,0.100
1811,3,3.900,0.000
1811,3,4.200,0.100
1811,3,4.400,0.100
1811,3,3.900,0.000
1811,3,4.200,0.200
1811,3,4.300,0.100
1811,3,4.100,0.200
1811,3,3.900,0.100
1811,3,3.800,0.000
1811,3,4.100,0.200
1811,3,4.100,0.100
1811,3,3.800,0.100
1811,3,4.000,0.200
1811,3,4.200,0.000
1811,3,3.900,0.000
1811,3,3.900,0.100
1811,3,4.000,0.000
1811,3,4.700,0.100
1811,3,3.800,0.000
1811,3,3.900,0.100
1811,3,3.900,0.000
1811,3,4.300,0.100
1811,3,4.100,0.100
1811,3,4.400,0.000
1811,3,4.000,0.000
1811,3,4.300,0.100
1811,3,4.100,0.100
1811,3,3.900,0.000
1811,3,4.100,0.100
1811,3,3.800,0.100
1811,3,3.800,0.100
1811,10,4.200,0.200
1811,10,4.200,0.100
1811,10,4.300,0.100
1811,10,4.300,0.100
1811,10,4.200,0.100
1811,10,4.100,0.000
1811,10,6.800,0.200
1811,10,3.700,0.100
1811,10,4.100,0.100
1811,10,4.100,0.100
1811,10,4.800,0.300
1811,10,4.100,0.200
1811,10,4.400,0.200
1811,10,4.100,0.100
1811,10,4.200,0.100
1811,10,4.100,0.100
1811,10,4.100,0.200
1811,10,7.400,0.200
1811,10,3.700,0.200
1811,10,4.100,0.200
1811,10,4.100,0.100
1811,10,4.600,0.000
1811,10,4.000,0.100
1811,10,4.400,0.200
1811,10,4.100,0.000
1811,10,4.300,0.100
1811,10,4.000,0.200
1811,10,4.000,0.100
1811,10,3.800,0.100
1811,10,5.500,0.200
1811,10,4.200,0.200
1811,10,4.200,0.200
1811,10,6.200,0.100
1811,10,3.900,0.200
1811,10,3.900,0.100
1811,10,4.000,0.100
1811,10,4.900,0.200
1811,10,3.800,0.100
1811,10,3.800,0.100
1811,10,3.700,0.100
1811,10,5.000,0.200
1811,10,3.900,0.100
1811,10,4.100,0.100
1811,10,4.100,0.100
1811,10,4.600,0.100
1811,10,3.900,0.200
1811,10,4.000,0.100
1811,10,4.000,0.200
1811,10,4.300,0.100
1811,10,5.300,0.100
1811,10,4.000,0.200
1811,10,6.100,0.100
1811,10,3.900,0.100
1811,10,3.900,0.000
1811,10,4.000,0.100
1811,10,4.600,0.100
1811,10,4.000,0.200
1811,10,3.900,0.200
1811,10,4.000,0.100
1811,10,4.600,0.200
1811,10,4.000,0.100
1811,32,6.000,0.300
1811,32,4.200,0.400
1811,32,4.400,0.300
1811,32,4.300,0.300
1811,32,4.800,0.200
1811,32,5.000,0.200
1811,32,3.000,0.300
1811,32,4.200,0.300
1811,32,4.600,0.300
1811,32,4.700,0.300
1811,32,4.500,0.300
1811,32,6.000,0.200
1811,32,4.100,0.300
1811,32,4.300,0.300
1811,32,4.200,0.300
1811,32,4.500,0.200
1811,32,4.300,0.300
1811,32,4.100,0.300
1811,32,6.600,0.300
1811,32,4.000,0.300
1811,32,4.200,0.200
1811,32,5.000,0.200
1811,32,4.800,0.200
1811,32,4.200,0.300
1811,32,4.300,0.300
1811,32,6.100,0.300
1811,32,4.200,0.300
1811,32,4.200,0.300
1811,32,4.200,0.300
1811,32,4.300,0.200
1811,32,4.600,0.300
1811,32,4.400,0.300
1811,32,4.200,0.300
1811,32,3.900,0.200
1811,32,4.300,0.300
1811,32,4.400,0.400
1811,32,6.000,0.300
1811,32,4.000,0.300
1811,32,4.300,0.300
1811,32,4.300,0.400
1811,32,4.800,0.300
1811,32,4.100,0.300
1811,32,7.600,0.200
1811,32,5.000,0.300
