nParts,k,frameMs,editMs,gpuMs
68452,1,31.804,0.022,11.870
68452,1,31.784,0.022,11.700
68452,1,31.470,0.030,11.651
68452,1,32.000,0.020,12.068
68452,1,31.861,0.021,11.712
68452,1,31.660,0.021,11.621
68452,1,31.855,0.020,12.024
68452,1,31.672,0.024,11.699
68452,1,33.839,0.022,11.775
68452,1,31.676,0.023,11.799
68452,1,31.608,0.020,11.809
68452,1,31.900,0.021,11.646
68452,1,31.490,0.020,11.717
68452,1,31.266,0.020,11.771
68452,1,31.135,0.020,11.697
68452,1,31.543,0.080,11.653
68452,1,31.637,0.021,11.943
68452,1,31.934,0.020,11.734
68452,1,31.333,0.021,11.654
68452,1,32.404,0.020,12.234
68452,1,31.684,0.018,11.691
68452,1,31.862,0.021,11.638
68452,1,31.718,0.023,11.923
68452,1,31.453,0.022,11.693
68452,1,31.612,0.019,11.663
68452,1,31.577,0.023,11.802
68452,1,31.531,0.019,11.663
68452,1,31.263,0.019,11.612
68452,1,31.670,0.021,11.818
68452,1,31.303,0.023,11.751
68452,1,31.501,0.022,11.655
68452,1,31.838,0.020,11.690
68452,1,31.931,0.022,11.803
68452,1,31.229,0.022,11.634
68452,1,31.329,0.019,11.644
68452,1,31.738,0.019,12.090
68452,1,31.309,0.019,11.711
68452,1,31.253,0.020,11.875
68452,1,31.569,0.019,11.942
68452,1,31.402,0.022,11.677
68452,1,31.269,0.022,11.716
68452,1,31.503,0.020,11.963
68452,1,31.155,0.019,11.688
68452,1,31.163,0.019,11.807
68452,1,31.556,0.021,12.109
68452,1,31.853,0.084,11.727
68452,1,31.509,0.020,11.657
68452,1,31.357,0.022,11.763
68452,1,32.363,0.018,12.032
68452,1,32.700,0.020,11.702
68452,1,32.590,0.020,11.810
68452,1,32.197,0.024,12.061
68452,1,31.984,0.020,11.642
68452,1,31.604,0.019,11.736
68452,1,31.435,0.019,11.862
68452,1,31.694,0.019,11.693
68452,1,31.799,0.019,11.638
68452,1,31.659,0.019,11.883
68452,1,31.738,0.019,11.693
68452,1,31.942,0.019,11.697
68452,3,32.408,0.031,11.865
68452,3,31.467,0.030,11.744
68452,3,31.773,0.028,12.253
68452,3,31.014,0.028,11.739
68452,3,31.071,0.027,11.702
68452,3,31.339,0.027,11.951
68452,3,31.448,0.028,11.743
68452,3,31.452,0.029,11.772
68452,3,31.317,0.029,11.902
68452,3,31.341,0.028,11.725
68452,3,31.083,0.029,11.712
68452,3,31.338,0.029,11.811
68452,3,31.224,0.029,11.841
68452,3,31.233,0.027,11.772
68452,3,31.164,0.028,11.731
68452,3,31.743,0.030,12.077
68452,3,31.283,0.029,11.739
68452,3,31.330,0.034,11.698
68452,3,31.591,0.028,12.150
68452,3,31.436,0.028,11.733
68452,3,31.182,0.027,11.725
68452,3,31.525,0.032,11.981
68452,3,31.205,0.028,11.735
