nParts,k,frameMs,editMs,gpuMs
68452,1,0.899,0.018,0.438
68452,1,0.808,0.035,0.402
68452,1,0.736,0.024,0.398
68452,1,0.712,0.018,0.398
68452,1,0.622,0.020,0.399
68452,1,0.713,0.018,0.399
68452,1,0.698,0.018,0.398
68452,1,0.738,0.036,0.399
68452,1,0.676,0.021,0.399
68452,1,0.683,0.020,0.398
68452,1,0.690,0.019,0.399
68452,1,0.758,0.020,0.398
68452,1,0.752,0.018,0.399
68452,1,0.739,0.022,0.398
68452,1,0.713,0.017,0.398
68452,1,0.678,0.019,0.398
68452,1,0.600,0.019,0.398
68452,1,0.701,0.018,0.398
68452,1,0.851,0.018,0.398
68452,1,0.757,0.018,0.398
68452,1,0.922,0.020,0.441
68452,1,0.771,0.021,0.399
68452,1,0.821,0.018,0.398
68452,1,0.755,0.018,0.398
68452,1,0.709,0.018,0.399
68452,1,0.776,0.019,0.398
68452,1,0.671,0.018,0.399
68452,1,0.769,0.018,0.399
68452,1,0.696,0.018,0.398
68452,1,0.740,0.018,0.398
68452,1,0.659,0.019,0.398
68452,1,1.056,0.018,0.399
68452,1,0.762,0.019,0.398
68452,1,0.754,0.018,0.398
68452,1,0.796,0.018,0.398
68452,1,0.761,0.019,0.398
68452,1,0.705,0.018,0.398
68452,1,0.656,0.020,0.399
68452,1,0.777,0.018,0.398
68452,1,1.414,0.019,0.406
68452,1,0.909,0.023,0.438
68452,1,0.927,0.023,0.400
68452,1,0.879,0.018,0.398
68452,1,0.891,0.018,0.398
68452,1,0.748,0.019,0.398
68452,1,0.685,0.021,0.399
68452,1,0.749,0.018,0.399
68452,1,0.639,0.018,0.398
68452,1,0.757,0.018,0.398
68452,1,0.634,0.018,0.399
68452,1,0.658,0.021,0.398
68452,1,0.605,0.018,0.398
68452,1,0.645,0.017,0.398
68452,1,0.713,0.018,0.398
68452,1,0.673,0.017,0.398
68452,1,0.742,0.020,0.399
68452,1,0.795,0.018,0.399
68452,1,0.682,0.018,0.398
68452,1,0.772,0.017,0.399
68452,1,0.787,0.017,0.398
68452,3,0.727,0.026,0.398
68452,3,0.855,0.029,0.399
68452,3,0.729,0.026,0.399
68452,3,0.858,0.026,0.439
68452,3,0.761,0.032,0.400
68452,3,0.635,0.029,0.399
68452,3,0.611,0.027,0.398
68452,3,0.734,0.027,0.398
68452,3,0.788,0.026,0.398
68452,3,0.745,0.025,0.399
68452,3,0.761,0.026,0.399
68452,3,0.747,0.029,0.398
68452,3,0.745,0.027,0.398
68452,3,0.795,0.028,0.398
68452,3,0.779,0.026,0.398
68452,3,0.867,0.027,0.398
68452,3,0.730,0.026,0.398
68452,3,0.663,0.027,0.398
68452,3,0.714,0.029,0.399
68452,3,0.790,0.026,0.399
68452,3,0.872,0.025,0.398
68452,3,0.789,0.026,0.398
68452,3,0.914,0.028,0.398
68452,3,0.734,0.026,0.398
68452,3,0.734,0.026,0.399
68452,3,0.884,0.033,0.438
68452,3,0.820,0.031,0.400
68452,3,0.749,0.029,0.398
68452,3,0.710,0.027,0.399
68452,3,0.905,0.026,0.398
68452,3,0.846,0.026,0.399
68452,3,0.825,0.029,0.398
68452,3,0.825,0.027,0.399
68452,3,0.834,0.033,0.398
68452,3,0.795,0.026,0.399
68452,3,0.804,0.027,0.398
68452,3,2.704,0.027,0.441
68452,3,0.704,0.033,0.398
68452,3,0.670,0.028,0.398
68452,3,0.662,0.026,0.398
68452,3,0.705,0.026,0.399
68452,3,0.832,0.026,0.399
68452,3,0.768,0.027,0.399
68452,3,0.832,0.028,0.424
68452,3,0.835,0.033,0.438
68452,3,0.741,0.028,0.398
68452,3,0.779,0.027,0.398
68452,3,0.816,0.026,0.398
68452,3,0.801,0.028,0.398
68452,3,0.684,0.028,0.399
68452,3,0.761,0.027,0.398
68452,3,0.745,0.026,0.398
68452,3,0.823,0.026,0.399
68452,3,0.748,0.028,0.398
68452,3,0.669,0.026,0.398
68452,3,0.785,0.025,0.398
68452,3,0.752,0.026,0.398
68452,3,0.728,0.029,0.398
68452,3,0.758,0.027,0.398
68452,3,0.724,0.026,0.398
68452,10,0.784,0.054,0.398
68452,10,0.713,0.054,0.398
68452,10,0.701,0.058,0.399
68452,10,0.705,0.057,0.398
68452,10,0.849,0.055,0.400
68452,10,0.734,0.056,0.398
68452,10,0.965,0.059,0.406
68452,10,0.811,0.066,0.400
68452,10,0.939,0.055,0.405
68452,10,0.866,0.054,0.398
68452,10,0.845,0.054,0.398
68452,10,0.930,0.059,0.398
68452,10,0.845,0.056,0.398
68452,10,0.790,0.053,0.399
68452,10,0.933,0.053,0.399
68452,10,0.744,0.053,0.398
68452,10,0.955,0.054,0.399
68452,10,0.888,0.055,0.399
68452,10,0.847,0.055,0.399
68452,10,0.803,0.053,0.399
68452,10,0.780,0.054,0.399
68452,10,0.784,0.055,0.399
68452,10,0.835,0.055,0.398
68452,10,0.896,0.053,0.399
68452,10,0.763,0.054,0.398
68452,10,1.007,0.056,0.407
68452,10,0.849,0.058,0.399
68452,10,0.809,0.058,0.398
68452,10,0.894,0.057,0.399
68452,10,0.972,0.055,0.399
68452,10,0.974,0.054,0.398
68452,10,0.947,0.054,0.399
68452,10,0.923,0.057,0.399
