nParts,k,frameMs,editMs,gpuMs
20000,1,0.464,0.021,0.140
20000,1,0.434,0.025,0.141
20000,1,0.418,0.031,0.140
20000,1,0.505,0.028,0.139
20000,1,0.439,0.025,0.139
20000,1,0.339,0.019,0.139
20000,1,0.421,0.018,0.139
20000,1,0.495,0.024,0.140
20000,1,0.494,0.024,0.139
20000,1,0.490,0.024,0.139
20000,1,0.411,0.028,0.139
20000,1,0.358,0.020,0.139
20000,1,0.340,0.018,0.139
20000,1,0.353,0.028,0.139
20000,1,0.470,0.018,0.139
20000,1,0.461,0.024,0.140
20000,1,0.436,0.019,0.139
20000,1,0.409,0.018,0.139
20000,1,0.569,0.018,0.139
20000,1,0.402,0.022,0.139
20000,1,0.389,0.022,0.140
20000,1,0.505,0.021,0.141
20000,1,0.449,0.018,0.140
20000,1,0.444,0.019,0.139
20000,1,0.418,0.027,0.140
20000,1,0.490,0.019,0.139
20000,1,0.509,0.020,0.139
20000,1,0.532,0.023,0.140
20000,1,0.460,0.024,0.140
20000,1,0.568,0.029,0.139
20000,1,0.543,0.020,0.139
20000,1,0.527,0.019,0.139
20000,1,0.425,0.019,0.139
20000,1,0.405,0.022,0.139
20000,1,0.474,0.021,0.139
20000,1,0.428,0.020,0.140
20000,1,0.446,0.019,0.139
20000,1,0.487,0.020,0.139
20000,1,0.524,0.019,0.139
20000,1,1.237,0.019,0.151
20000,1,0.452,0.020,0.139
20000,1,0.401,0.019,0.139
20000,1,0.471,0.018,0.139
20000,1,0.381,0.018,0.139
20000,1,0.424,0.017,0.139
20000,1,0.448,0.019,0.139
20000,1,0.428,0.018,0.139
20000,1,0.435,0.018,0.139
20000,1,0.446,0.021,0.140
20000,1,0.380,0.018,0.139
20000,1,0.487,0.018,0.139
20000,1,0.384,0.020,0.140
20000,1,0.475,0.022,0.140
20000,1,0.370,0.020,0.138
20000,1,0.350,0.019,0.139
20000,1,0.493,0.019,0.139
20000,1,0.475,0.020,0.140
20000,1,0.519,0.021,0.139
20000,1,0.403,0.020,0.139
20000,1,0.432,0.019,0.139
20000,3,0.359,0.027,0.139
20000,3,0.474,0.026,0.139
20000,3,0.454,0.027,0.139
20000,3,0.397,0.032,0.139
