nParts,k,frameMs,editMs,gpuMs
1811,1,1.077,0.018,0.566
1811,1,1.039,0.029,0.566
1811,1,0.921,0.022,0.565
1811,1,0.954,0.022,0.566
1811,1,0.883,0.019,0.565
1811,1,0.851,0.020,0.566
1811,1,0.785,0.019,0.566
1811,1,0.985,0.017,0.566
1811,1,0.863,0.035,0.566
1811,1,0.999,0.018,0.565
1811,1,0.971,0.019,0.565
1811,1,0.979,0.018,0.566
1811,1,0.913,0.019,0.565
1811,1,0.886,0.022,0.566
1811,1,1.025,0.018,0.565
1811,1,0.994,0.019,0.566
1811,1,1.014,0.019,0.567
1811,1,0.848,0.018,0.566
1811,1,1.052,0.019,0.567
1811,1,0.934,0.024,0.566
1811,1,0.919,0.021,0.566
1811,1,0.902,0.019,0.566
1811,1,0.940,0.020,0.565
1811,1,0.920,0.021,0.566
1811,1,0.882,0.021,0.566
1811,1,0.937,0.020,0.565
1811,1,0.919,0.019,0.567
1811,1,1.032,0.018,0.566
1811,1,1.048,0.019,0.566
1811,1,0.938,0.019,0.566
1811,1,0.858,0.018,0.567
1811,1,0.884,0.017,0.566
1811,1,0.883,0.018,0.565
1811,1,0.955,0.017,0.566
1811,1,0.894,0.018,0.565
1811,1,1.789,0.019,0.567
1811,1,1.099,0.032,0.566
1811,1,1.958,0.031,0.565
1811,1,0.931,0.033,0.566
1811,1,1.734,0.026,0.570
1811,1,1.065,0.037,0.566
1811,1,0.895,0.026,0.566
1811,1,0.863,0.023,0.566
1811,1,0.871,0.022,0.566
1811,1,0.876,0.023,0.565
1811,1,0.861,0.024,0.566
1811,1,0.887,0.025,0.565
1811,1,0.849,0.025,0.567
1811,1,0.826,0.028,0.565
1811,1,1.162,0.021,0.567
1811,1,1.010,0.022,0.568
1811,1,0.868,0.025,0.565
1811,1,1.039,0.027,0.565
1811,1,0.950,0.028,0.566
1811,1,0.926,0.026,0.566
1811,1,0.850,0.028,0.565
1811,1,0.864,0.026,0.566
1811,1,0.857,0.023,0.566
1811,1,0.946,0.020,0.566
1811,1,0.880,0.018,0.566
1811,3,0.937,0.025,0.565
1811,3,0.966,0.025,0.566
1811,3,0.992,0.026,0.565
1811,3,0.928,0.025,0.566
1811,3,0.968,0.026,0.565
1811,3,1.146,0.027,0.567
1811,3,0.882,0.030,0.565
1811,3,1.154,0.029,0.565
1811,3,1.094,0.028,0.566
1811,3,0.989,0.025,0.565
1811,3,0.956,0.027,0.565
1811,3,0.929,0.026,0.566
1811,3,1.008,0.028,0.565
1811,3,0.973,0.026,0.566
1811,3,0.984,0.026,0.566
1811,3,0.994,0.026,0.566
1811,3,1.005,0.026,0.566
1811,3,0.954,0.026,0.565
1811,3,1.008,0.026,0.566
1811,3,0.973,0.026,0.565
1811,3,0.967,0.026,0.566
1811,3,0.965,0.026,0.566
1811,3,1.115,0.025,0.566
1811,3,1.111,0.028,0.566
1811,3,0.985,0.028,0.566
1811,3,0.954,0.026,0.566
1811,3,0.966,0.025,0.565
1811,3,0.961,0.026,0.565
1811,3,0.963,0.026,0.565
1811,3,0.979,0.026,0.565
1811,3,0.982,0.027,0.566
1811,3,0.996,0.026,0.566
1811,3,0.973,0.026,0.566
1811,3,0.898,0.026,0.566
1811,3,0.915,0.025,0.566
1811,3,0.961,0.026,0.565
1811,3,3.099,0.025,0.570
1811,3,0.981,0.044,0.566
1811,3,0.996,0.035,0.565
1811,3,1.002,0.028,0.566
1811,3,0.980,0.026,0.566
1811,3,0.965,0.026,0.566
1811,3,0.952,0.026,0.565
1811,3,0.959,0.042,0.566
1811,3,0.908,0.026,0.566
1811,3,0.978,0.026,0.566
1811,3,0.932,0.029,0.565
1811,3,0.891,0.027,0.566
1811,3,0.933,0.027,0.566
1811,3,0.855,0.025,0.566
1811,3,0.894,0.026,0.565
1811,3,0.863,0.027,0.566
1811,3,0.947,0.026,0.565
1811,3,0.985,0.025,0.565
1811,3,1.423,0.027,0.566
1811,3,1.053,0.036,0.566
1811,3,0.995,0.030,0.566
1811,3,0.866,0.031,0.566
1811,3,0.924,0.031,0.565
1811,3,0.855,0.031,0.566
1811,10,0.847,0.064,0.565
1811,10,0.871,0.057,0.566
1811,10,0.876,0.059,0.565
1811,10,0.907,0.053,0.566
1811,10,0.883,0.056,0.566
1811,10,0.913,0.053,0.565
1811,10,0.917,0.056,0.566
1811,10,0.979,0.057,0.566
1811,10,1.025,0.057,0.566
1811,10,0.925,0.060,0.566
1811,10,1.148,0.057,0.565
1811,10,1.032,0.057,0.565
1811,10,1.014,0.056,0.565
1811,10,0.930,0.056,0.565
1811,10,1.096,0.057,0.565
1811,10,1.137,0.056,0.565
1811,10,1.101,0.056,0.566
1811,10,0.947,0.053,0.565
1811,10,1.112,0.057,0.565
1811,10,1.110,0.057,0.566
1811,10,1.030,0.056,0.566
1811,10,1.126,0.062,0.565
1811,10,1.071,0.056,0.566
1811,10,0.963,0.054,0.565
1811,10,1.038,0.054,0.566
1811,10,1.007,0.056,0.565
1811,10,1.038,0.060,0.565
1811,10,1.001,0.059,0.566
1811,10,0.984,0.058,0.565
1811,10,0.984,0.055,0.566
1811,10,1.012,0.053,0.566
1811,10,1.104,0.056,0.566
1811,10,1.108,0.056,0.565
1811,10,1.119,0.056,0.565
1811,10,1.133,0.056,0.566
1811,10,1.104,0.056,0.565
1811,10,3.807,0.054,0.565
1811,10,1.036,0.054,0.566
1811,10,1.039,0.055,0.565
1811,10,1.107,0.062,0.565
1811,10,1.011,0.058,0.565
1811,10,1.016,0.063,0.565
1811,10,1.003,0.051,0.565
1811,10,0.997,0.059,0.565
1811,10,0.937,0.055,0.565
1811,10,0.962,0.063,0.566
1811,10,1.009,0.056,0.565
1811,10,0.963,0.057,0.567
1811,10,0.995,0.054,0.566
1811,10,1.010,0.056,0.567
1811,10,0.966,0.056,0.566
1811,10,0.966,0.058,0.566
1811,10,1.069,0.055,0.566
1811,10,1.265,0.066,0.566
1811,10,1.020,0.058,0.566
1811,10,0.992,0.065,0.566
1811,10,0.922,0.061,0.565
1811,10,1.003,0.059,0.566
1811,10,1.014,0.058,0.566
1811,10,1.040,0.057,0.565
