nParts,k,frameMs,editMs,gpuMs
20000,1,8.876,0.019,3.673
20000,1,8.603,0.021,3.300
20000,1,8.541,0.027,3.560
20000,1,7.981,0.025,3.300
20000,1,8.377,0.025,3.559
20000,1,7.974,0.018,3.299
20000,1,8.432,0.017,3.512
20000,1,8.148,0.029,3.307
20000,1,8.538,0.025,3.508
20000,1,7.900,0.027,3.296
20000,1,8.566,0.015,3.558
20000,1,8.086,0.020,3.301
20000,1,9.286,0.018,3.615
20000,1,7.983,0.029,3.296
20000,1,8.703,0.020,3.614
20000,1,7.776,0.030,3.309
20000,1,7.958,0.015,3.566
20000,1,7.698,0.019,3.294
20000,1,8.221,0.016,3.702
20000,1,8.544,0.029,3.295
20000,1,8.799,0.018,3.658
20000,1,8.374,0.020,3.294
20000,1,8.721,0.021,3.559
20000,1,7.921,0.020,3.296
20000,1,8.400,0.023,3.558
20000,1,8.233,0.019,3.297
20000,1,8.643,0.019,3.560
20000,1,8.412,0.026,3.294
20000,1,8.754,0.026,3.557
20000,1,8.424,0.030,3.294
20000,1,8.715,0.020,3.560
20000,1,7.912,0.019,3.295
20000,1,8.451,0.016,3.559
20000,1,7.887,0.026,3.297
20000,1,8.478,0.017,3.611
20000,1,8.457,0.018,3.297
20000,1,8.835,0.019,3.516
20000,1,8.098,0.018,3.295
20000,1,8.508,0.016,3.525
20000,1,8.190,0.019,3.299
20000,1,8.353,0.017,3.399
20000,1,8.197,0.017,3.301
20000,1,8.287,0.019,3.560
20000,1,8.020,0.020,3.293
20000,1,8.315,0.021,3.615
20000,1,8.015,0.019,3.295
20000,1,8.260,0.017,3.611
20000,1,7.386,0.018,3.293
20000,1,7.829,0.015,3.697
20000,1,7.641,0.018,3.295
20000,1,7.963,0.017,3.699
20000,1,7.692,0.017,3.298
20000,1,8.224,0.018,3.739
20000,1,8.014,0.019,3.297
20000,1,8.247,0.020,3.695
20000,1,7.862,0.019,3.297
20000,1,8.262,0.018,3.577
20000,1,8.021,0.020,3.297
20000,1,7.892,0.021,3.577
20000,1,8.075,0.020,3.293
20000,3,8.082,0.028,3.295
20000,3,7.914,0.033,3.577
20000,3,7.933,0.028,3.296
20000,3,8.082,0.034,3.579
20000,3,8.106,0.030,3.297
20000,3,8.053,0.028,3.412
20000,3,8.034,0.027,3.326
20000,3,7.795,0.026,3.415
20000,3,7.850,0.027,3.420
20000,3,7.325,0.025,3.296
20000,3,7.783,0.025,3.559
20000,3,7.999,0.035,3.298
20000,3,8.329,0.032,3.565
20000,3,7.228,0.027,3.295
20000,3,7.588,0.023,3.699
20000,3,7.299,0.026,3.296
20000,3,7.833,0.032,3.713
20000,3,8.238,0.029,3.295
20000,3,8.462,0.045,3.742
20000,3,8.025,0.030,3.295
20000,3,8.423,0.029,3.747
20000,3,7.798,0.028,3.295
20000,3,7.280,0.026,3.589
20000,3,7.511,0.022,3.297
20000,3,7.743,0.030,3.415
20000,3,7.898,0.026,3.404
20000,3,7.937,0.030,3.295
20000,3,7.911,0.025,3.403
20000,3,7.771,0.029,3.297
20000,3,8.036,0.024,3.557
20000,3,7.631,0.027,3.294
20000,3,7.976,0.026,3.513
20000,3,7.553,0.041,3.296
20000,3,7.858,0.024,3.695
20000,3,7.363,0.027,3.297
20000,3,7.063,0.024,3.599
20000,3,7.936,0.026,3.297
20000,3,7.545,0.026,3.418
20000,3,7.737,0.025,3.302
20000,3,7.862,0.026,3.294
20000,3,8.120,0.033,3.403
20000,3,7.749,0.028,3.294
20000,3,8.043,0.027,3.458
20000,3,7.426,0.028,3.294
20000,3,9.161,0.024,4.809
20000,3,7.380,0.028,3.295
20000,3,7.754,0.024,3.569
20000,3,7.558,0.027,3.296
20000,3,8.069,0.024,3.697
20000,3,7.735,0.029,3.299
20000,3,7.927,0.024,3.734
20000,3,8.268,0.028,3.296
20000,3,8.265,0.026,3.713
20000,3,8.075,0.027,3.295
20000,3,8.488,0.028,3.742
20000,3,7.813,0.028,3.299
20000,3,7.681,0.033,3.572
20000,3,7.722,0.026,3.299
20000,3,7.502,0.027,3.422
20000,3,8.263,0.026,3.319
20000,10,7.963,0.068,3.295
20000,10,7.735,0.055,3.573
20000,10,8.168,0.064,3.294
20000,10,8.107,0.060,3.417
20000,10,8.174,0.068,3.295
20000,10,8.160,0.073,3.419
20000,10,7.925,0.057,3.295
20000,10,7.266,0.063,3.294
20000,10,8.016,0.055,3.456
20000,10,7.687,0.098,3.291
20000,10,7.752,0.055,3.559
20000,10,7.354,0.067,3.296
20000,10,8.087,0.056,3.773
20000,10,7.848,0.058,3.294
20000,10,8.252,0.062,3.700
20000,10,8.148,0.060,3.293
20000,10,8.730,0.068,3.728
20000,10,7.982,0.062,3.298
20000,10,8.388,0.063,3.700
20000,10,7.455,0.061,3.294
20000,10,7.819,0.053,3.717
20000,10,7.918,0.068,3.294
20000,10,7.646,0.056,3.576
20000,10,7.973,0.066,3.294
20000,10,7.587,0.058,3.413
20000,10,7.709,0.055,3.298
20000,10,7.379,0.063,3.295
20000,10,7.846,0.055,3.402
20000,10,7.314,0.066,3.295
20000,10,15.868,7.929,3.296
20000,10,8.305,0.053,3.563
20000,10,7.772,0.060,3.297
20000,10,8.115,0.057,3.712
20000,10,7.690,0.070,3.309
20000,10,7.767,0.055,3.722
20000,10,7.722,0.068,3.296
20000,10,8.114,0.055,3.599
20000,10,8.040,0.068,3.297
20000,10,8.183,0.057,3.583
20000,10,8.024,0.061,3.297
20000,10,7.790,0.065,3.591
20000,10,7.928,0.056,3.318
20000,10,7.352,0.067,3.425
20000,10,8.070,0.058,3.400
20000,10,7.836,0.052,3.297
20000,10,8.253,0.070,3.402
20000,10,8.445,0.062,3.294
20000,10,8.418,0.067,3.293
20000,10,8.101,0.063,3.296
20000,10,8.226,0.067,3.401
20000,10,7.617,0.061,3.296
20000,10,8.040,0.055,3.612
20000,10,8.339,0.074,3.294
20000,10,8.326,0.060,3.561
20000,10,7.764,0.067,3.295
20000,10,8.287,0.061,3.616
20000,10,7.534,0.060,3.296
20000,10,8.310,0.069,3.711
20000,10,7.281,0.060,3.321
20000,10,7.707,0.062,3.594
20000,32,8.491,0.169,3.404
20000,32,7.933,0.162,3.298
20000,32,8.197,0.154,3.527
