nParts,k,frameMs,editMs,gpuMs
1811,1,1.380,0.017,0.748
1811,1,1.483,0.022,0.750
1811,1,1.486,0.019,0.760
1811,1,1.581,0.021,0.762
1811,1,1.424,0.025,0.754
1811,1,1.288,0.020,0.749
1811,1,1.349,0.017,0.747
1811,1,1.420,0.019,0.749
1811,1,1.401,0.019,0.748
1811,1,1.392,0.018,0.747
1811,1,1.414,0.019,0.773
1811,1,1.348,0.017,0.750
1811,1,1.273,0.018,0.748
1811,1,1.257,0.016,0.751
1811,1,1.299,0.016,0.763
1811,1,1.461,0.027,0.764
1811,1,1.481,0.021,0.753
1811,1,1.436,0.020,0.749
1811,1,1.402,0.020,0.749
1811,1,1.469,0.019,0.749
1811,1,1.435,0.020,0.747
1811,1,1.517,0.019,0.755
1811,1,1.396,0.018,0.756
1811,1,1.422,0.018,0.757
1811,1,1.498,0.018,0.753
1811,1,1.571,0.022,0.751
1811,1,1.584,0.024,0.765
1811,1,1.631,0.023,0.752
1811,1,1.387,0.018,0.747
1811,1,1.305,0.019,0.747
1811,1,1.358,0.017,0.748
1811,1,1.406,0.020,0.747
1811,1,1.439,0.019,0.748
1811,1,1.418,0.019,0.748
1811,1,1.381,0.017,0.749
1811,1,1.376,0.018,0.747
1811,1,1.346,0.017,0.765
1811,1,1.477,0.021,0.764
1811,1,1.535,0.018,0.763
1811,1,1.519,0.031,0.754
1811,1,1.411,0.019,0.748
1811,1,1.343,0.018,0.747
1811,1,1.318,0.019,0.751
1811,1,1.353,0.018,0.747
1811,1,1.325,0.017,0.747
1811,1,1.426,0.018,0.749
1811,1,1.509,0.018,0.748
1811,1,1.448,0.018,0.763
1811,1,1.553,0.017,0.754
1811,1,1.482,0.018,0.764
1811,1,1.510,0.020,0.753
1811,1,1.402,0.020,0.757
1811,1,1.390,0.018,0.748
1811,1,1.338,0.021,0.748
1811,1,1.259,0.020,0.749
1811,1,1.238,0.017,0.749
1811,1,1.396,0.016,0.748
1811,1,1.290,0.018,0.748
1811,1,1.339,0.017,0.748
1811,1,1.381,0.018,0.751
