nParts,k,frameMs,editMs
1811,1,16.800,0.100
1811,1,16.300,0.100
1811,1,16.900,0.100
1811,1,16.800,0.200
1811,1,16.400,0.100
1811,1,17.000,0.100
1811,1,17.000,0.100
1811,1,16.200,0.100
1811,1,16.700,0.200
1811,1,17.000,0.100
1811,1,16.200,0.000
1811,1,16.700,0.100
1811,1,16.900,0.000
1811,1,16.000,0.100
1811,1,16.700,0.100
1811,1,17.200,0.000
1811,1,16.100,0.000
1811,1,16.600,0.100
1811,1,16.800,0.100
1811,1,17.200,0.000
1811,1,16.800,0.100
1811,1,16.000,0.100
1811,1,17.100,0.000
1811,1,16.800,0.000
1811,1,16.900,0.000
1811,1,16.000,0.000
1811,1,16.800,0.100
1811,1,16.400,0.100
1811,1,16.700,0.000
1811,1,16.800,0.000
1811,1,16.600,0.000
1811,1,16.700,0.000
1811,1,17.200,0.000
1811,1,15.900,0.100
1811,1,17.000,0.100
1811,1,17.000,0.000
1811,1,16.000,0.000
1811,1,16.800,0.000
1811,1,17.200,0.000
1811,1,16.900,0.100
1811,1,15.800,0.100
1811,1,17.100,0.000
1811,1,17.000,0.000
1811,1,15.900,0.000
1811,1,16.900,0.000
1811,1,17.100,0.100
1811,1,16.200,0.100
1811,1,16.800,0.000
1811,1,16.700,0.100
1811,1,16.300,0.000
1811,1,16.800,0.000
1811,1,16.800,0.100
1811,1,17.100,0.100
1811,1,16.900,0.000
1811,1,15.700,0.100
1811,1,17.200,0.000
1811,1,16.700,0.100
1811,1,17.000,0.000
1811,1,16.100,0.100
1811,1,16.800,0.100
1811,1,16.800,0.000
1811,3,16.900,0.100
1811,3,17.000,0.100
1811,3,16.200,0.100
1811,3,16.800,0.000
1811,3,16.700,0.100
1811,3,17.300,0.000
1811,3,15.900,0.100
1811,3,16.800,0.100
1811,3,16.800,0.100
1811,3,16.700,0.100
1811,3,17.100,0.100
1811,3,15.900,0.200
1811,3,16.900,0.100
1811,3,17.100,0.200
1811,3,16.900,0.100
1811,3,16.000,0.200
1811,3,16.400,0.100
1811,3,17.300,0.100
1811,3,16.000,0.000
1811,3,17.100,0.100
1811,3,16.800,0.100
1811,3,16.900,0.100
1811,3,16.100,0.100
1811,3,16.900,0.000
1811,3,16.900,0.100
1811,3,16.200,0.100
1811,3,16.900,0.100
1811,3,16.700,0.100
1811,3,16.200,0.100
1811,3,16.900,0.100
1811,3,16.900,0.100
1811,3,17.100,0.100
1811,3,15.900,0.100
1811,3,17.100,0.000
1811,3,16.200,0.000
1811,3,16.900,0.200
1811,3,17.100,0.100
1811,3,16.300,0.100
1811,3,16.900,0.100
1811,3,19.000,0.100
1811,3,14.100,0.100
1811,3,17.100,0.100
1811,3,15.900,0.000
1811,3,17.100,0.000
1811,3,16.900,0.100
1811,3,16.000,0.100
1811,3,16.800,0.100
1811,3,17.100,0.200
1811,3,16.000,0.100
1811,3,17.100,0.100
1811,3,17.100,0.100
1811,3,16.400,0.200
1811,3,16.900,0.200
1811,3,16.100,0.100
1811,3,17.200,0.100
1811,3,16.900,0.000
1811,3,15.800,0.100
1811,3,17.400,0.000
1811,3,16.000,0.200
1811,3,17.100,0.100
1811,3,16.100,0.000
1811,10,16.100,0.200
1811,10,16.900,0.200
1811,10,16.900,0.100
1811,10,16.600,0.200
1811,10,16.000,0.200
1811,10,17.100,0.100
1811,10,17.000,0.200
1811,10,16.100,0.100
1811,10,16.900,0.100
1811,10,17.200,0.100
1811,10,15.900,0.200
1811,10,16.800,0.100
1811,10,17.100,0.100
1811,10,15.800,0.100
1811,10,17.000,0.100
1811,10,17.200,0.200
1811,10,15.900,0.100
1811,10,16.900,0.200
1811,10,17.100,0.200
1811,10,15.900,0.100
1811,10,16.900,0.200
1811,10,17.100,0.100
1811,10,16.900,0.100
1811,10,15.900,0.200
1811,10,17.300,0.200
1811,10,16.800,0.200
1811,10,16.200,0.100
1811,10,16.500,0.200
1811,10,17.000,0.200
1811,10,16.100,0.200
1811,10,17.200,0.100
1811,10,16.100,0.200
1811,10,17.000,0.200
1811,10,17.300,0.300
1811,10,17.400,0.200
1811,10,15.600,0.200
1811,10,16.400,0.100
1811,10,17.000,0.200
1811,10,16.800,0.100
1811,10,16.200,0.100
1811,10,16.900,0.100
1811,10,16.800,0.200
1811,10,16.200,0.100
1811,10,17.100,0.100
1811,10,16.100,0.200
1811,10,17.400,0.200
1811,10,16.500,0.100
1811,10,16.100,0.100
1811,10,17.200,0.100
1811,10,16.100,0.200
1811,10,17.100,0.200
1811,10,16.000,0.200
1811,10,16.800,0.100
1811,10,16.900,0.200
1811,10,17.000,0.300
1811,10,16.400,0.100
1811,10,17.200,0.000
1811,10,16.500,0.100
1811,10,16.800,0.200
1811,10,16.800,0.000
1811,10,16.100,0.200
1811,32,16.900,0.300
1811,32,16.900,0.300
1811,32,16.900,0.200
1811,32,16.900,0.200
1811,32,16.000,0.200
1811,32,17.100,0.200
1811,32,16.900,0.200
1811,32,16.100,0.300
1811,32,17.300,0.200
1811,32,16.000,0.300
1811,32,17.100,0.300
1811,32,16.100,0.400
1811,32,16.900,0.300
1811,32,16.900,0.300
1811,32,16.200,0.300
1811,32,16.900,0.200
1811,32,17.000,0.300
1811,32,16.300,0.300
1811,32,16.900,0.300
1811,32,17.000,0.300
1811,32,16.300,0.200
1811,32,16.100,0.300
1811,32,17.000,0.300
1811,32,16.400,0.400
1811,32,17.000,0.300
1811,32,16.900,0.300
1811,32,16.100,0.300
1811,32,17.100,0.300
1811,32,16.800,0.200
1811,32,16.100,0.300
1811,32,16.900,0.300
1811,32,17.000,0.400
1811,32,16.400,0.200
1811,32,17.100,0.300
1811,32,16.100,0.300
1811,32,17.300,0.300
1811,32,16.000,0.300
1811,32,21.000,0.200
1811,32,12.200,0.400
1811,32,16.900,0.300
1811,32,17.000,0.300
1811,32,16.100,0.300
1811,32,17.000,0.300
1811,32,16.400,0.400
1811,32,17.400,0.400
1811,32,15.900,0.400
1811,32,16.800,0.400
1811,32,17.100,0.300
1811,32,16.900,0.500
1811,32,16.000,0.300
1811,32,17.200,0.300
1811,32,16.200,0.300
1811,32,17.000,0.300
1811,32,16.400,0.500
1811,32,17.300,0.300
1811,32,16.000,0.300
1811,32,17.100,0.400
1811,32,16.300,0.300
1811,32,16.800,0.300
1811,32,16.300,0.300
1811,32,16.700,0.300
1811,100,17.000,0.900
1811,100,15.900,0.900
1811,100,16.900,0.900
1811,100,16.700,0.800
1811,100,17.000,0.900
1811,100,15.900,1.000
1811,100,17.200,0.800
1811,100,16.900,1.000
1811,100,16.200,0.800
1811,100,20.400,0.700
1811,100,13.500,0.700
1811,100,16.000,0.800
1811,100,17.100,0.600
1811,100,16.200,0.500
1811,100,17.200,0.600
1811,100,16.000,0.600
1811,100,17.200,0.700
1811,100,17.100,0.600
1811,100,15.900,0.700
1811,100,17.200,0.700
1811,100,16.100,0.600
1811,100,17.000,0.700
1811,100,16.300,0.600
1811,100,17.000,0.700
1811,100,16.900,0.700
1811,100,16.400,0.600
1811,100,17.100,0.600
1811,100,16.000,0.600
1811,100,17.200,0.700
1811,100,16.100,0.700
1811,100,17.200,0.600
1811,100,16.200,0.600
1811,100,16.600,0.600
1811,100,16.800,0.700
1811,100,16.500,0.700
1811,100,16.900,0.700
1811,100,16.200,0.700
1811,100,17.300,0.800
1811,100,16.900,0.700
1811,100,16.300,0.700
1811,100,16.300,0.600
1811,100,17.200,0.600
1811,100,16.200,0.600
